,author,tags,perseus,wikipedia,trimegistos,trismegistos_id,wikidata_id,aliases
0,Platon,"(Greek, philosophy academy, poetry tragedy, BC 428 - 347 about)",nan,https://en.wikipedia.org/wiki/Plato,https://www.trismegistos.org/author/694,694,Q859,"['plato philosophus', 'platon', 'aristocle', 'aristocles', 'plato', 'platón', 'aristokles', 'platone', 'plátōn']"
1,Aristoteles,"(Greek, history, philosophy Peripatetic, poetry elegy, BC 384 - 322)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,https://en.wikipedia.org/wiki/Aristotle,https://www.trismegistos.org/author/119,119,Q868,"['aristoteles pellaeus', 'aristoteles de estagira', 'aristotle', 'aristotele', 'aristóteles de estagira', 'aristotelis', 'the stagirite', 'aristoteles', 'ἀριστοτέλης', 'aristote', 'aristotile', 'aristoteles atheniensis', 'aristóteles', 'aristoteles stagirites']"
2,Homeros,"(Greek, poetry epic, BC 750 - 700 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.745,https://en.wikipedia.org/wiki/Homeros,https://www.trismegistos.org/author/393,393,Q6691,"['homeros', 'homer', 'homerus epicus', 'omero', 'homero', 'mæonides', 'homerus', 'homère']"
3,Vergilius,"(Latin, poetry epic, bucolic, BC 70 - 19)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1474,https://en.wikipedia.org/wiki/Vergilius,https://www.trismegistos.org/author/958,958,Q1398,"['publio virgilio maron', 'publius vergilius maro', 'p. v. m.', 'swan of mantua', 'virgil', 'p. virgilio marone', 'publio virgilio marón', 'vergilius', 'virgilius', 'vergilius maro', 'vergil', 'virgile', 'mantuan swan', 'virgilio', 'publio virgilio marone']"
4,Augustinus,"(Latin, theology, poetry, grammar, AD 354 - 430)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.236,https://en.wikipedia.org/wiki/Augustine_of_Hippo,https://www.trismegistos.org/author/136,136,Q8018,"['augustinus', ""sant'agostino"", 'st. augustine of hippo', 'san agustin de hipona', 'aurelius augustinus', 'augustinus von hippo', 'aurelius augustinus hipponensis', 'augustine', 'augustinus aurelius', 'augustinus, aurelius', ""agostino d'ippona"", 'agostino di ippona', 'saint augustine of hippo', 'st. augustine', 'san agustín', 'st. augoustinos', 'aurelius augustine', 'augustine of hippo', 'bishop of hippo', 'saint augustine', 'saint austin', 'augustin d’hippone', 'saint augustin', 'agustín de hipona']"
5,Cicero,"(Latin / Greek, history, rhetoric, philosophy, paradoxography, BC 106 - 43)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.364,https://en.wikipedia.org/wiki/Cicero,https://www.trismegistos.org/author/187,187,Q1541,"['m.tullius m.f.m.n. cor. cicero', 'marco tulio ciceron', 'marcus tullius cicero', 'cicerone', 'm. tullius cicero', 'cicéron', 'tully', 'marco tullio cicerone', 'cicero', 'ciceron', 'm. tullii ciceronis', 'cicerón', 'marco tulio cicerón', 'm. tullio cicerone']"
6,Euripides,"(Greek, poetry tragedy, satyr play, BC 480 - 406)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.601,https://en.wikipedia.org/wiki/Euripides,https://www.trismegistos.org/author/299,299,Q48305,"['euripides tragicus', 'eurípides', 'euripide', 'euripides']"
7,Ovidius,"(Latin, poetry, BC 43 - AD 18)",nan,https://en.wikipedia.org/wiki/Ovidius,https://www.trismegistos.org/author/614,614,Q7198,"['ovide', 'publius ovidius naso', 'publio ovidio nasone', 'p. ovidius naso', 'ovidius', 'ovidio', 'ovid']"
8,Horatius,"(Latin, poetry, BC 65 - 8)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.748,https://en.wikipedia.org/wiki/Horace,https://www.trismegistos.org/author/395,395,Q6197,"['orazio', 'quinto orazio flacco', 'q. horatius flaccus', 'horatius poeta', 'quintus horatius flaccus', 'horatius', 'horacio', 'horace', 'horaz', 'horatius flaccus', 'quinto horacio flaco']"
9,Seneca,"(Latin, philosophy, poetry tragedy, history, AD 41 - 65)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1270,https://en.wikipedia.org/wiki/Seneca_the_Younger,https://www.trismegistos.org/author/1102,1102,Q2054,"['lucio anneo séneca', 'seneca the younger', 'lucio anneo seneca', 'annaeus seneca', 'sénèque le jeune', 'sénèque le philosophe', 'lucio aneo séneca', 'lucius annaeus seneca the younger', 'seneca il giovane', 'séneca el joven', 'l. annaeus seneca, cordubensis', 'seneca', 'séneca el menor', 'lucius annaeus seneca', 'l. annæus seneca', 'sénèque', 'lucius annaeus seneca iunior', 'the younger seneca', 'séneca', 'lucius annaeus seneca minor', 'seneka']"
10,Ploutarchos,"(Greek, biography, philosophy Platonist middle, history, AD 46 - 120 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1144,https://en.wikipedia.org/wiki/Plutarchus,https://www.trismegistos.org/author/698,698,Q41523,"['lucius mestrius plutarchus', 'mestrio plutarco', 'plutarch', 'plutarch of chaeronea', 'plutarque', 'plutarque de chéronée', 'plutarco de queronea', 'plutarchus philosophus', 'plutarco di cheronea', 'ploutarchos', 'plutarchus chaeronensis', 'l. mestrius plutarchus', 'plutarco', 'plutarchus biographus', 'plutarchos', 'plutarchus']"
11,Sophokles,"(Greek, poetry tragedy, poetry elegy, BC 497 - 405 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1307,https://en.wikipedia.org/wiki/Sophocles,https://www.trismegistos.org/author/865,865,Q7235,"['sofocle', 'sophocles', 'sófocles', 'sophokles', 'sophocle', 'sophocles tragicus']"
