short_name,nb_items,nb_collections,first_names,surname,date_of_birth,date_of_death,viaf_id
"Cicero, Marcus Tullius",2761,451,Marcus Tullius,Cicero,106 BCE,43 BCE,78769600
Horace (Quintus Horatius Flaccus),1904,459,Quintus Horatius Flaccus,Horatius,65 BCE,8 BCE,100227522
Virgil (Vergilius Maro),1892,466,Publius Vergilius Maro,Virgil,70 BCE,19 BCE,307499318
"Ovid, Publius Naso",1650,477,Publius Ovidius Naso,Ovidius,43 BCE,17,88342447
Terence (Publius Terentius Afer),1185,399,Publius  Afer,Terentius,c. 190 BCE,159 BCE,66462384
"Tacitus, Publius Cornelius",1049,418,Publius Cornelius,Tacitus,c. 56,117,100226923
Aristotle,870,263,-,Aristotle,384 BCE,322 BCE,268271999
Juvenal,861,355,Decimus Junius,Juvenalis,c. 55,,83985148
Plutarch,841,381,Lucius Mestrius,Plutarch,c. 46,c. 120,268955446
"Caesar, Gaius Julius",823,364,Gaius Julius,Caesar,100 BCE,44 BCE,17151776730618010858
Augustine of Hippo,750,263,Aurelius,Augustinus,354,430,66806872
Livy (Titus Livius),722,354,Titus,Livius Patavinus,c. 59 BCE,17,99942145
Justinian I (emperor),718,255,Flavius Petrus Sabbatius,Iustinianus Augustus,482,565,88881722
Hippocrates of Kos,703,197,Hippocrates,Hippocrates of Kos,c. 460 BCE,c. 370 BCE,287984736
Suetonius,692,318,Gaius,Suetonius Tranquilius,c. 70,c. 140,100218606
"Sallust, Gaius Crispus",687,323,Gaius Sallustius Crispus,Sallustius,86 BCE,35 BCE,104162705
"Lucretius, Titus Carus",631,301,Titus Lucretius Carus,Lucretius,c. 98 BCE,c. 55 BCE,106388020
"Josephus, Flavius",618,388,Josephus,Flavius,c. 37,c. 100,22143666
Plautus,617,306,Titus Maccius,Plautus,c. 254 BCE,c. 184 BCE,66462281
Persius (Aulus Persius Flaccus),579,263,Aulus,Persius Flaccus,34,62,100198157
Xenophon of Athens,569,270,Xenophon,-,c. 430 BCE,c. 354 BCE,89597697
"Justin, Marcus Junianus",567,303,Marcus Junianus,Justinus Frontinus,fl. 2nd century,,24616821
Lucian of Samosata,525,292,-,Lucian of Samosata,120,,100218901
"Martial, Marcus Valerius",507,256,Marcus Valerius,Martialis,c. 40,c. 104,8099277
Lucan (Marcus Annaeus Lucanus),501,278,Marcus Annaeus,Lucanus,39,65,100902938
"Florus, Lucius Annaeus",489,266,Lucius Annaeus,Florus,c. 74,c. 130,89604346
Cornelius Nepos,478,271,Cornelius,Nepos,c. 110 BCE,c. 25 BCE,100219060
