short_name,nb_items,nb_collections,first_names,surname,date_of_birth,date_of_death,viaf_id
"Baculard d'Arnaud, François-Thomas-Marie de",54,43,François-Thomas-Marie de,Baculard d'Arnaud,15-09-1718,09-11-1805,95165197
"Dreux du Radier, Jean-François",27,22,Jean-François,Dreux du Radier,10-05-1714,01-03-1780,24665106
"Pfeffel, Christian Frédéric",19,18,Christian Frédéric,Pfeffel,03-10-1726,20-03-1807,49354470
"Polynière, Pierre",16,16,Pierre,Polynière,08-09-1671,09-02-1734,74913454
"Bezout, Étienne",11,10,Étienne,Bezout,31-03-1730,27-09-1783,76375563
"Sainte-Foix Arcq, Philippe-Auguste de",10,10,Philippe-Auguste de,Sainte-Foix Arcq,12-07-1721,05-02-1795,14883502
"Démeunier, Jean-Nicolas",10,10,Jean-Nicolas,Démeunier,15-03-1751,07-02-1814,46770347
"Hozier, Charles-René d'",7,6,Charles-René d',Hozier,24-02-1640,13-02-1732,71392389
"Vauvenargues, Luc de Clapiers",7,7,Luc de,Clapiers Vauvenargues,06-08-1715,28-05-1747,64016636
"Ménard, Léon",6,6,Léon,Ménard,12-09-1706,01-10-1767,68932791
"Hurtaut, Pierre-Thomas-Nicolas",5,5,Pierre-Thomas-Nicolas,Hurtaut,17-04-1719,05-05-1791,69036462
"Boussanelle, Louis de",5,4,Louis de,Boussanelle,20-07-1720,01-03-1788,49563314
"Aubert, Jean-Louis (abbé)",5,5,Jean-Louis,Aubert,15-02-1731,10-11-1814,59116590
"Mesnil-Durand, François-Jean de",3,3,François-Jean de,Mesnil-Durand,09-11-1729,31-07-1799,64125680
"Hesseln, Robert de",3,3,Robert de,Hesseln,21-03-1733,,66722879
"Sacy, Claude-Louis-Michel de",2,2,Claude-Louis-Michel de,Sacy,27-03-1746,15-10-1794,7431477
"Mille, Antoine Étienne",2,2,Antoine Étienne,Mille,01-12-1735,17..,74199387
"Drummond de Melfort, Louis Hector",2,2,Louis Hector,Drummond de Melfort,01-11-1722,06-10-1788,20573159
"Brion, Charles de",1,1,Charles de,Brion,13-11-1647,04-12-1728,120721689
"Massieu, Guillaume",1,1,Guillaume,Massieu,13-04-1665,26-09-1722,73843977
