english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages
Boethius,Boèce,Anicius Manlius Torquatus Severinus Boethius,Q102851,"Boethius, Anicius Manlius Severinus",100218964,280,188,"[""Anicius Manlius Severinus Bo\u00ebthius"", ""Anicus Manlius Severinus Boethius"", ""Anicius Manlius Torquatus Severinus Boethius""]","[""S\u00e9verin Bo\u00e8ce"", ""Boethius"", ""Boetius"", ""Anicius Manlius Severinus Boethius"", ""Anicius Bo\u00e8ce"", ""Bo\u00ebce""]","[""Anicius Manlius Torquatus Severinus Bo\u00ebthius"", ""Boethius"", ""Anicius Manlius Severinus Bo\u00ebthius"", ""Anicius Manlius Severinus Boethius"", ""Bo\u00ebthius"", ""Severinus Boethius"", ""Anicius Manlius Severinus Boetius""]","[""Latin""]"
Cornelius Nepos,Cornélius Népos,Cornelius Nepos,Q109594,Cornelius Nepos,100219060,478,271,[],"[""Cornelius Nepos"", ""Corn\u00e9lius Nepos""]","[""Cornelius Nepos Historicus""]","[""Latin""]"
Damasus I,Damase Ier,Damasus I,Q130997,Damasus I (Pope),267405622,5,5,"[""Damasus"", ""Pope Damasus I""]","[""Saint Damase""]","[""Sanctus Damasus PP. I""]","[""Latin""]"
Catullus,Catulle,Gaius Valerius Catullus,Q163079,"Catullus, Gaius Valerius",100218993,425,230,"[""Gaius Valerius Catullus"", ""Caius Valerius Catullus""]","[""Caius Valerius Catullus"", ""Catullus""]","[""Caius Valerius Catullus"", ""Catullus""]","[""Latin""]"
Terence,Térence,Publius Terentius Afer,Q172048,Terence (Publius Terentius Afer),66462384,1185,399,"[""Terentius"", ""Publius Terentius Afer""]","[""Terentius"", ""Terence"", ""Publius Terentius Afer""]","[""Terentius"", ""Terentius Comicus"", ""P. Terentius Afer""]","[""Latin""]"
Tertullian,Tertullien,Quintus Septimius Florens Tertullianus,Q174929,"Tertullian, Quintus Septimius",257902368,254,156,"[""Quintus Septimius Florens Tertullianus""]","[""Quintus Septimus Florens Tertullianus""]","[""Tertullianus Scriptor ecclesiasticus"", ""Quintus Septimus Florens Tertullianus"", ""Tertullianus""]","[""Latin""]"
Cato the Elder,Caton l'Ancien,Marcus Porcius Cato maior,Q180081,Cato (the Elder),99852885,75,61,"[""Marcus Porcius Catus"", ""Marcus Porcius Cato Maior"", ""Marcus Porcius Cato Sapiens"", ""Cato Censor"", ""Cato Sapiens"", ""Marcus Porcius Cato"", ""Marcus Porcius Cato Major"", ""Cato Major"", ""Marcus Portius Cato""]","[""Caton le Censeur"", ""Marcus Porcius Cato Maior""]","[""Marcus Porcius Cato Censor"", ""Marcus Porcius Catus"", ""Cato Maior"", ""Cato senior"", ""M. Porcius Cato maior"", ""Cato Censor"", ""Marcus Porcius Cato Censorius"", ""Marcus Cato"", ""Marcus Porcius Cato""]","[""Latin""]"
Julius Firmicus Maternus,Julius Firmicus Maternus,Iulius Firmicus Maternus,Q367422,"Firmicus Maternus, Julius",5015147967361884200009,27,22,"[""Firmicius Maternus"", ""Firmicus Maternus""]","[""Firmicus Maternus""]","[""Firmicius Maternus"", ""Firmicus Maternus""]","[""Latin""]"
Fulgentius of Ruspe,Fulgence de Ruspe,Fulgentius Ruspensis,Q380089,Fulgentius of Ruspe (saint),102324857,37,31,[],"[""Claudius Gordianus Fulgentius""]","[""Fabius Claudius Gordianus Fulgentius"", ""sanctus Fulgentius Ruspensis""]","[""Latin""]"
Nonius Marcellus,Nonius Marcellus,Nonius Marcellus,Q183420,Nonius Marcellus,59182520,25,24,"[""Marcellus Nonius""]",[],"[""Nonius Marcellus Grammaticus""]","[""Latin""]"
Avianus,Avianus,Avianus,Q185732,"Avianus, Flavius",41836105,28,26,"[""Flavius Avianus""]","[""Flavius Avianus""]","[""Avianus Poeta"", ""Flavius Avianus""]","[""Latin""]"
Lucan,Lucain,Lucanus,Q188646,Lucan (Marcus Annaeus Lucanus),100902938,501,278,"[""Marcus Annaeus Lucanus"", ""Lucanus""]","[""Marcus Annaeus Lucanus""]","[""Marcus Annaeus Lucanus"", ""M. Annaeus Lucanus"", ""Lucanus Poeta""]","[""Latin""]"
Cyprian,Cyprien de Carthage,Cyprianus Carthaginiensis,Q190240,Cyprian of Carthage (saint),100179090,147,103,"[""Saint Cyprian"", ""St. Cyprian"", ""Cyprianus Carthaginiensis"", ""Cyprian of Carthage""]","[""Saint Cyprien de Carthage""]","[""Cyprianus Carthaginensis"", ""Thascius Caecilius Cyprianus"", ""Sanctus Cyprianus""]","[""Latin""]"
Cassiodorus,Cassiodore,Cassiodorus,Q192365,Aurelius Cassiodorus,95230707,55,48,"[""Flavius Magnus Aurelius Cassiodorus Senator""]","[""Cassiodorus""]","[""Flavius Magnus Aurelius Cassiodorus"", ""Cassiodorus Senator"", ""Flavius Magnus Aurelius Cassiodorus Senator""]","[""Latin""]"
Quintilian,Quintilien,Marcus Fabius Quintilianus,Q193769,"Quintilian, Marcus Fabius",34451872,401,226,"[""Marcus Fabius Quintilian"", ""Marcus Fabius Quintilianus""]",[],"[""Quintilianus"", ""Quintilianus Rhetor""]","[""Latin""]"
Juvenal,Juvénal,Decimus Iunius Iuvenalis,Q193800,Juvenal,83985148,861,355,"[""Decimus Iunius Iuvenalis"", ""Decimus Junius Juvenalis""]","[""Juvenal""]","[""Juvenalis"", ""Iuvenalis"", ""Decimus Iunius Iuuenalis""]","[""Latin""]"
Porphyry,Porphyre de Tyr,Porphyrius Tyrius,Q203445,Porphyry of Tyre,102333270,47,43,"[""Porphyry of Tyre"", ""Malchus""]",[],"[""Porphyrius"", ""Porphyrius Philosophus"", ""Malchus""]","[""Latin"", ""Ancient Greek""]"
Claudian,Claudien,Claudius Claudianus,Q205947,Claudian (Claudius Claudianus),246763674,224,160,"[""Claudianus"", ""Claudius Claudianus of Alexandria"", ""Claudius Claudianus""]","[""Claudius Claudianus"", ""Claudius Claudianus d'Alexandrie""]","[""Claudianus"", ""Claudius Claudianus Alexandrinus""]","[""Latin"", ""Ancient Greek""]"
Marcus Terentius Varro,Varron,Marcus Terentius Varro,Q206119,"Terentius Varro, Marcus",100219311,99,71,"[""Marcus Terentius Varro Reatinus"", ""Varro"", ""Varro Reatinus""]","[""Marcus Terentius Varro""]","[""Marcus Terentius Varro Reatinus"", ""Varro Grammaticus"", ""Varro Reatinus""]","[""Latin""]"
Lactantius,Lactance,Lucius Caecilius Firmianus Lactantius,Q209102,"Lactantius, Lucius Caecilius",100198064,267,174,"[""Lucius Caelius Firmianus Lactantius"", ""Lucius Caecilius Firmianus Lactantius""]","[""Lucius Caecilius Firmianus Lactantius""]","[""Lactantius"", ""Lactantius Firmianus"", ""Lucius Caecilius Firmanius Lactantius""]","[""Latin""]"
Justin,Justin,Marcus Iunianus Iustinus,Q210853,"Justin, Marcus Junianus",24616821,567,303,"[""Marcus Iunianus Iustinus Frontinus"", ""Marcus Iunianus Iustinus"", ""Marcus Junianus Justinus"", ""Marcus Junianus Justinus Frontinus""]","[""Junianus Justinus""]","[""Iunianus Iustinus"", ""Iustinus"", ""M. Iunianus Iustinus""]","[""Latin""]"
Ausonius,Ausone,Decimus Magnus Ausonius,Q234593,"Ausonius, Decimus Magnus",109786483,178,133,"[""Decimus Magnus Ausonius""]",[],"[""Decimius Magnus Ausonius"", ""D. Magnus Ausonius Burdigalensis"", ""Ausonius""]","[""Latin""]"
Sulpicia,Sulpicia,Sulpicia,Q257448,Sulpicia,79413101,4,4,"[""Sulpicia I""]",[],"[""Sulpicia Poeta""]","[""Latin""]"
Seneca the Elder,Sénèque l'Ancien,Annaeus Seneca maior,Q273671,"Seneca, Marcus / Lucius Annaeus (rhetor)",23497389,43,37,"[""Ann\u00e6us Seneca"", ""Annaeus Seneca maior""]","[""Lucius Annaeus Seneca"", ""Seneque l'Ancien"", ""S\u00e9n\u00e8que le Rh\u00e9teur""]","[""Lucius Annaeus Seneca"", ""Seneca Maior"", ""Seneca Rhetor""]","[""Latin""]"
Aurelius Victor,Aurelius Victor,Sextus Aurelius Victor,Q275606,Aurelius Victor,64001057,120,100,"[""Victor Sextus Aurelius"", ""Sextus Aurelius Victor""]","[""Aur\u00e9lius Victor"", ""Sextus Aurelius Victor""]","[""Aurelius Victor""]","[""Latin""]"
Aulus Gellius,Aulu-Gelle,Aulus Gellius,Q294800,Aulus Gellius,100198334,285,196,"[""Gellius"", ""Aulus Gellus"", ""Agellius""]","[""Aulus-Gellius"", ""Aulu Gelle"", ""Aulus Gellius""]","[""Gellius""]","[""Latin""]"
Frontinus,Frontin,Sextus Iulius Frontinus,Q297377,"Frontinus, Sextus Julius",12349897,94,73,"[""Sextus Julius Frontinus"", ""Sextus Iulius Frontinus""]","[""Sextus Julius Frontinus"", ""Sextus Julius Frontin""]","[""Frontinus""]","[""Latin""]"
Gaius Lucilius,Lucilius,Gaius Lucilius,Q298729,Lucilius,89131128,19,16,"[""Caius Lucilius"", ""Lucilius""]","[""Caius Lucilius"", ""Gaius Lucilius""]","[""Lucilius"", ""Lucilius Satyricus""]","[""Latin""]"
Sextus Pompeius Festus,Festus Grammaticus,Sextus Pompeius Festus,Q302723,"Festus, Sextus Pompeius",89123645,54,49,[],"[""Sextus Pompeius Festus""]",[],"[""Latin""]"
Sidonius Apollinaris,Sidoine Apollinaire,Sidonius Apollinaris,Q302936,Sidonius Apollinaris,89203537,32,31,"[""Gaius Sollius Apollinaris Sidoniu"", ""Saint Sidonius Apollinaris"", ""Gaius Sollius Modestus Apollinaris Sidonius"", ""Apollinaris Sidonius""]","[""Caius Sollius Apollinaris Sidonius"", ""Gaius Sollius Apollinaris Sidonius""]","[""Sidonius Poeta""]","[""Latin""]"
Caesarius of Arles,Césaire d'Arles,Caesarius Arelatensis,Q304832,Caesarius Arelatensis,102305735,0,0,"[""Saint Caesarius of Arles""]",[],[],"[""Latin""]"
Ulpian,Ulpien,Domitius Ulpianus,Q310076,"Ulpianus, Domitius",100210035,6,6,"[""Domitius Ulpianus""]","[""Ulpian""]","[""Gnaeus Domitius Ulpianus"", ""Ulpianus""]","[""Latin""]"
Orosius,Paul Orose,Orosius,Q311456,"Orosius, Paulus",2479624,45,41,"[""Paul Orosius"", ""Paulus Orosius""]","[""Orose""]","[""Paulus Orosius"", ""Orosius Historicus""]","[""Latin""]"
Aulus Cornelius Celsus,Celse,Aulus Cornelius Celsus,Q312420,"Celsus, Aulus Cornelius",100172872,163,94,"[""Celsus""]","[""Cornelius Celsus"", ""Aulus Cornelius Celsus""]","[""Celsus Medicus"", ""Cornelius Celsus""]","[""Latin""]"
Eutropius,Eutrope,Eutropius,Q314694,Eutropius,25396473,156,123,"[""Flavius Eutropius""]","[""Flavius Eutropius""]","[""Eutropius Historicus"", ""Flavius Eutropius""]","[""Latin""]"
Gaius Valerius Flaccus,Caius Valerius Flaccus,Gaius Valerius Flaccus,Q316090,"Valerius Flaccus, Gaius",100899421,99,78,"[""Valerius Flaccus"", ""Gaius Valerius Flaccus Setinus Balbus""]","[""Val\u00e9rius Flaccus""]","[""Valerius Flaccus Poeta"", ""Valerius Flaccus"", ""Valerius Flaccus Setinus Balbus"", ""Gaius Valerius Flaccus Setinus Balbus""]","[""Latin""]"
Marcus Velleius Paterculus,Velleius Paterculus,Velleius Paterculus,Q316098,Velleius Paterculus,100171160,324,219,"[""Velleius Paterculus""]","[""Caius Velleius Paterculus"", ""Marcus Velleius Paterculus""]","[""Velleius Paterculus Historicus""]","[""Latin""]"
Lucius Annaeus Florus,Florus,Lucius Annaeus Florus,Q316483,"Florus, Lucius Annaeus",89604346,489,266,"[""Julius Florus"", ""Florus"", ""Iulius Florus""]",[],"[""Florus"", ""Florus Historicus""]","[""Latin""]"
Persius,Perse,Aulus Persius Flaccus,Q332785,Persius (Aulus Persius Flaccus),100198157,579,263,"[""Aulus Persius Flaccus""]","[""Aulus Persius Flaccus""]","[""Aulus Flaccus Persius"", ""Persius Poeta"", ""Persius""]","[""Latin""]"
Sulpicius Severus,Sulpice Sévère,Sulpicius Severus,Q336704,Sulpicius Severus,30332452,184,141,[],"[""Saint Sulpice-S\u00e9v\u00e8re"", ""Sulpice-S\u00e9v\u00e8re"", ""Sulpice-Severe""]","[""Sulpitius Severus""]","[""Latin""]"
