short_name,viaf_id,nb_items,nb_collections
Virgil (Vergilius Maro),8194433,1892,466
Aristotle,7524651,870,263
"Caesar, Gaius Julius",286265178,823,364
"Phaedrus, Gaius Julius",100219094,448,246
Eusebius of Caesarea,4929593,390,210
Apuleius,32115433,273,179
"Longinus, Cassius Dionysius",56631326,213,143
John Chrysostom (saint),305214868,204,114
"Statius, Publius Papinus",100904338,204,150
"Ptolemy, Claudius",54152998,176,127
Vitruvius,46768430,165,92
Ammianus Marcellinus,89594750,133,109
Hierocles of Alexandria,84971648,118,98
Clement of Alexandria,100185827,109,92
"Vegetius, Publicus Flavius",100197902,96,89
Socrates Scholasticus,107158790626238851415,64,61
Menander,297103308,54,43
Aretaeus of Cappadocia,293149294368780522108,43,24
Oppian of Cilicia,86913544,40,36
"Chrysologus, Petrus (saint)",88069141,21,19
Diophantus of Alexandria,2604182,20,20
Aemilius Probus,59141391,15,15
Polemon of Laodicea,79012427,10,8
Rufus of Ephesus,42630594,10,7
Apollonius the Sophist,266713061,8,8
Aristarchus of Samos,79398695,4,4
Babrius,36151776765518010879,3,3
Coelius Sedulius,18636329,2,2
