english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages
Damasus I,Damase Ier,Damasus I,Q130997,Damasus I (Pope),267405622,5,5,"[""Damasus"", ""Pope Damasus I""]","[""Saint Damase""]","[""Sanctus Damasus PP. I""]","[""Latin""]"
Julius Firmicus Maternus,Julius Firmicus Maternus,Iulius Firmicus Maternus,Q367422,"Firmicus Maternus, Julius",5015147967361884200009,27,22,"[""Firmicius Maternus"", ""Firmicus Maternus""]","[""Firmicus Maternus""]","[""Firmicius Maternus"", ""Firmicus Maternus""]","[""Latin""]"
Fulgentius of Ruspe,Fulgence de Ruspe,Fulgentius Ruspensis,Q380089,Fulgentius of Ruspe (saint),102324857,37,31,[],"[""Claudius Gordianus Fulgentius""]","[""Fabius Claudius Gordianus Fulgentius"", ""sanctus Fulgentius Ruspensis""]","[""Latin""]"
Nonius Marcellus,Nonius Marcellus,Nonius Marcellus,Q183420,Nonius Marcellus,59182520,25,24,"[""Marcellus Nonius""]",[],"[""Nonius Marcellus Grammaticus""]","[""Latin""]"
Avianus,Avianus,Avianus,Q185732,"Avianus, Flavius",41836105,28,26,"[""Flavius Avianus""]","[""Flavius Avianus""]","[""Avianus Poeta"", ""Flavius Avianus""]","[""Latin""]"
Sulpicia,Sulpicia,Sulpicia,Q257448,Sulpicia,79413101,4,4,"[""Sulpicia I""]",[],"[""Sulpicia Poeta""]","[""Latin""]"
Aurelius Victor,Aurelius Victor,Sextus Aurelius Victor,Q275606,Aurelius Victor,64001057,120,100,"[""Victor Sextus Aurelius"", ""Sextus Aurelius Victor""]","[""Aur\u00e9lius Victor"", ""Sextus Aurelius Victor""]","[""Aurelius Victor""]","[""Latin""]"
Frontinus,Frontin,Sextus Iulius Frontinus,Q297377,"Frontinus, Sextus Julius",12349897,94,73,"[""Sextus Julius Frontinus"", ""Sextus Iulius Frontinus""]","[""Sextus Julius Frontinus"", ""Sextus Julius Frontin""]","[""Frontinus""]","[""Latin""]"
Sextus Pompeius Festus,Festus Grammaticus,Sextus Pompeius Festus,Q302723,"Festus, Sextus Pompeius",89123645,54,49,[],"[""Sextus Pompeius Festus""]",[],"[""Latin""]"
Caesarius of Arles,Césaire d'Arles,Caesarius Arelatensis,Q304832,Caesarius Arelatensis,102305735,0,0,"[""Saint Caesarius of Arles""]",[],[],"[""Latin""]"
