english_label,french_label,latin_label,q_identifier,trismegistos_label,trismegistos_id,english_aliases,french_aliases,latin_aliases,writing_languages
Pliny the Elder,Pline l'Ancien,Gaius Plinius Secundus,Q82778,Plinius Maior,697,"[""the Elder Pliny"", ""Pliny"", ""C. Plinius Secundus"", ""Caius Plinius Secundus"", ""Gaius Plinius Secundus"", ""Gaius P. Secundus"", ""Caius P. Secundus"", ""Plinius""]","[""Gaius Plinius Secundus"", ""Caius Plinius Secundus""]","[""Plinius Maior"", ""Plinius senior"", ""Caius Plinius Secundus"", ""Plinius Major""]","[""Latin""]"
Tibullus,Tibulle,Albius Tibullus,Q109598,Tibullus,1275,"[""Tibullus Albius"", ""Albius Tibullus""]","[""Tibullus""]","[""Tibullus""]","[""Latin""]"
Paulinus of Nola,Paulin de Nole,Paulinus Nolanus,Q132473,Paulinus of Nola,632,"[""Paulinus Nolanus"", ""St. Paulinus of Nola""]",[],[],"[""Latin""]"
Bede,Bède le Vénérable,Beda,Q154938,Beda Venerabilis,158,"[""Beda"", ""Doctor Anglorum"", ""Bede the Venerable"", ""Bede le Venerable"", ""Venerable Bede"", ""Beda Anglicus"", ""Saint Bede"", ""Saint Bede the Venerable"", ""Doctor of the English""]","[""Bede le Venerable"", ""B\u00e8de"", ""Saint B\u00e8de le V\u00e9n\u00e9rable"", ""Beda Venerabilis""]","[""Sanctus"", ""Beda Venerabilis""]","[""Latin""]"
Isidore of Seville,Isidore de Séville,Isidorus Hispalensis,Q166876,Isidorus of Sevilla,446,"[""St. Isidore"", ""Bishop of Seville"", ""Isidorus Hispalensis"", ""Isidor of Seville"", ""Saint Isidore of Seville""]","[""Isidoire de S\u00e9ville"", ""Saint Isidore de S\u00e9ville"", ""Isidore de Seville""]","[""Laus Hispaniae Isidori Hispaliensis"", ""Isidorus""]","[""Latin""]"
Pliny the Younger,Pline le Jeune,Gaius Plinius Caecilius Secundus,Q168707,Plinius the Younger,696,"[""the Younger Pliny"", ""Gaius Plinius Caecilius Secundus"", ""Gaius Caecilius Cilo"", ""C. Plinius Caecilius Secundus""]","[""Gaius Plinius Caecilius Secundus"", ""Caius Plinius Lucius filius Oufentina tribu Caecilius Secundus""]","[""C. Plinius Caecilius Secundus"", ""Caius Plinius Caecilius Secundus"", ""Plinius Minor""]","[""Latin""]"
Aelius Donatus,Aelius Donatus,Aelius Donatus,Q247137,Donatus,261,"[""Donatus""]","[""\u00c9lius Donat"", ""Aelius Donat""]","[""Donatus"", ""Donatus Grammaticus""]","[""Latin""]"
Gaius,Gaius,Gaius,Q313439,Gaius,325,"[""Caius""]","[""Ca\u00efus"", ""Ga\u00efus""]","[""Gaius Iurisconsultus"", ""iur.,"", ""Gaius""]","[""Latin""]"
Macrobius,Macrobe,Ambrosius Theodosius Macrobius,Q313934,Macrobius,540,"[""Ambrosius Theodosius Macrobius"", ""Ambroise Th\u00e9odose Macrobe"", ""Macrobius Ambrosius Theodosius""]","[""Ambrosius Macrobius Theodosius""]","[""Macrobius Theodosius"", ""Macrobius Grammaticus"", ""Macrobius""]","[""Latin""]"
Silius Italicus,Silius Italicus,Tiberius Catius Asconius Silius Italicus,Q316123,Silius Italicus,852,"[""Tiberius Catius Asconius Silius Italicus""]","[""Tiberius Catius Asconius Silius Italicus""]","[""Silius Italicus""]","[""Latin""]"
Marcus Cornelius Fronto,Fronton,Marcus Cornelius Fronto,Q317055,Fronto,323,"[""Fronto""]","[""Marcus Cornelius Fronto""]","[""Fronto Rhetor"", ""Fronto"", ""Marcus Cornelius Fronto Rhetor""]","[""Latin""]"
Columella,Columelle,Lucius Iunius Moderatus Columella,Q318317,Columella,199,"[""Lucius Kolumella"", ""Lucius Iunius Moderatus Columella"", ""Lucius Columella"", ""Lucius Junius Moderatus Columella"", ""L. Iunius Moderatus Columella""]","[""Lucius Columella""]","[""Columella""]","[""Latin""]"
Martianus Capella,Martianus Capella,Martianus Capella,Q348408,Martianus Capella,560,"[""Martianus Minneus Felix Capella"", ""M. Capella"", ""Martian Capella"", ""Martian"", ""Martian. Capella"", ""Martianus"", ""Capella""]","[""Marcien Capella"", ""Martianus""]","[""Martianus Minneus Felix Capella"", ""Felix Capella"", ""Martianus"", ""Martianus Cap."", ""Martianus Capella Carthaginiensis""]","[""Latin""]"
Servius,Servius,Maurus Servius Honoratus,Q355350,Servius,839,"[""Servius Honoratus"", ""Marius Servius Honoratus"", ""Marius Servius"", ""Sergius"", ""Maurus Servius Honoratus"", ""Seregius""]","[""Maurus Servius Honoratus""]","[""Servius"", ""Servius Grammaticus""]","[""Latin""]"
Priscian,Priscien de Césarée,Priscianus Caesariensis,Q356433,Priscianus,715,"[""Priscianus"", ""Priscian of Caesarea""]","[""Priscien""]","[""Priscianus"", ""Priscianus Caesarensis"", ""Priscianus Grammaticus""]","[""Latin""]"
Tyrannius Rufinus,Rufin d'Aquilée,Tyrannius Rufinus,Q365835,Rufinus of Aquileia,819,"[""Rufinus Aquileiensis"", ""Rufinus of Concordia"", ""Rufinus of Aquileia""]","[""Tyrannius Rufinus"", ""Rufin d'Aquilee""]","[""Rufinus Aquileiensis"", ""Rufinus Scriptor ecclesiasticus""]","[""Latin""]"
