english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages,trismegistos_label,trismegistos_id
Boethius,Boèce,Anicius Manlius Torquatus Severinus Boethius,Q102851,"Boethius, Anicius Manlius Severinus",100218964,280,188,"[""Anicius Manlius Severinus Bo\u00ebthius"", ""Anicus Manlius Severinus Boethius"", ""Anicius Manlius Torquatus Severinus Boethius""]","[""S\u00e9verin Bo\u00e8ce"", ""Boethius"", ""Boetius"", ""Anicius Manlius Severinus Boethius"", ""Anicius Bo\u00e8ce"", ""Bo\u00ebce""]","[""Anicius Manlius Torquatus Severinus Bo\u00ebthius"", ""Boethius"", ""Anicius Manlius Severinus Bo\u00ebthius"", ""Anicius Manlius Severinus Boethius"", ""Bo\u00ebthius"", ""Severinus Boethius"", ""Anicius Manlius Severinus Boetius""]","[""Latin""]",Boethius,164
Cornelius Nepos,Cornélius Népos,Cornelius Nepos,Q109594,Cornelius Nepos,100219060,478,271,[],"[""Cornelius Nepos"", ""Corn\u00e9lius Nepos""]","[""Cornelius Nepos Historicus""]","[""Latin""]",Cornelius Nepos,204
Catullus,Catulle,Gaius Valerius Catullus,Q163079,"Catullus, Gaius Valerius",100218993,425,230,"[""Gaius Valerius Catullus"", ""Caius Valerius Catullus""]","[""Caius Valerius Catullus"", ""Catullus""]","[""Caius Valerius Catullus"", ""Catullus""]","[""Latin""]",Catullus,175
Terence,Térence,Publius Terentius Afer,Q172048,Terence (Publius Terentius Afer),66462384,1185,399,"[""Terentius"", ""Publius Terentius Afer""]","[""Terentius"", ""Terence"", ""Publius Terentius Afer""]","[""Terentius"", ""Terentius Comicus"", ""P. Terentius Afer""]","[""Latin""]",Terentius,906
Tertullian,Tertullien,Quintus Septimius Florens Tertullianus,Q174929,"Tertullian, Quintus Septimius",257902368,254,156,"[""Quintus Septimius Florens Tertullianus""]","[""Quintus Septimus Florens Tertullianus""]","[""Tertullianus Scriptor ecclesiasticus"", ""Quintus Septimus Florens Tertullianus"", ""Tertullianus""]","[""Latin""]",Tertullianus,907
Cato the Elder,Caton l'Ancien,Marcus Porcius Cato maior,Q180081,Cato (the Elder),99852885,75,61,"[""Marcus Porcius Catus"", ""Marcus Porcius Cato Maior"", ""Marcus Porcius Cato Sapiens"", ""Cato Censor"", ""Cato Sapiens"", ""Marcus Porcius Cato"", ""Marcus Porcius Cato Major"", ""Cato Major"", ""Marcus Portius Cato""]","[""Caton le Censeur"", ""Marcus Porcius Cato Maior""]","[""Marcus Porcius Cato Censor"", ""Marcus Porcius Catus"", ""Cato Maior"", ""Cato senior"", ""M. Porcius Cato maior"", ""Cato Censor"", ""Marcus Porcius Cato Censorius"", ""Marcus Cato"", ""Marcus Porcius Cato""]","[""Latin""]",Marcus Porcius Cato,4908
Lucan,Lucain,Lucanus,Q188646,Lucan (Marcus Annaeus Lucanus),100902938,501,278,"[""Marcus Annaeus Lucanus"", ""Lucanus""]","[""Marcus Annaeus Lucanus""]","[""Marcus Annaeus Lucanus"", ""M. Annaeus Lucanus"", ""Lucanus Poeta""]","[""Latin""]",Lucanus,525
Cyprian,Cyprien de Carthage,Cyprianus Carthaginiensis,Q190240,Cyprian of Carthage (saint),100179090,147,103,"[""Saint Cyprian"", ""St. Cyprian"", ""Cyprianus Carthaginiensis"", ""Cyprian of Carthage""]","[""Saint Cyprien de Carthage""]","[""Cyprianus Carthaginensis"", ""Thascius Caecilius Cyprianus"", ""Sanctus Cyprianus""]","[""Latin""]",Cyprianus,210
Cassiodorus,Cassiodore,Cassiodorus,Q192365,Aurelius Cassiodorus,95230707,55,48,"[""Flavius Magnus Aurelius Cassiodorus Senator""]","[""Cassiodorus""]","[""Flavius Magnus Aurelius Cassiodorus"", ""Cassiodorus Senator"", ""Flavius Magnus Aurelius Cassiodorus Senator""]","[""Latin""]",Cassiodorus,171
Quintilian,Quintilien,Marcus Fabius Quintilianus,Q193769,"Quintilian, Marcus Fabius",34451872,401,226,"[""Marcus Fabius Quintilian"", ""Marcus Fabius Quintilianus""]",[],"[""Quintilianus"", ""Quintilianus Rhetor""]","[""Latin""]",Quintillianus,804
Juvenal,Juvénal,Decimus Iunius Iuvenalis,Q193800,Juvenal,83985148,861,355,"[""Decimus Iunius Iuvenalis"", ""Decimus Junius Juvenalis""]","[""Juvenal""]","[""Juvenalis"", ""Iuvenalis"", ""Decimus Iunius Iuuenalis""]","[""Latin""]",Iuvenalis,469
Porphyry,Porphyre de Tyr,Porphyrius Tyrius,Q203445,Porphyry of Tyre,102333270,47,43,"[""Porphyry of Tyre"", ""Malchus""]",[],"[""Porphyrius"", ""Porphyrius Philosophus"", ""Malchus""]","[""Latin"", ""Ancient Greek""]",Porphyrios of Tyros,707
Claudian,Claudien,Claudius Claudianus,Q205947,Claudian (Claudius Claudianus),246763674,224,160,"[""Claudianus"", ""Claudius Claudianus of Alexandria"", ""Claudius Claudianus""]","[""Claudius Claudianus"", ""Claudius Claudianus d'Alexandrie""]","[""Claudianus"", ""Claudius Claudianus Alexandrinus""]","[""Latin"", ""Ancient Greek""]",Claudianus,189
Marcus Terentius Varro,Varron,Marcus Terentius Varro,Q206119,"Terentius Varro, Marcus",100219311,99,71,"[""Marcus Terentius Varro Reatinus"", ""Varro"", ""Varro Reatinus""]","[""Marcus Terentius Varro""]","[""Marcus Terentius Varro Reatinus"", ""Varro Grammaticus"", ""Varro Reatinus""]","[""Latin""]",Varro,953
Lactantius,Lactance,Lucius Caecilius Firmianus Lactantius,Q209102,"Lactantius, Lucius Caecilius",100198064,267,174,"[""Lucius Caelius Firmianus Lactantius"", ""Lucius Caecilius Firmianus Lactantius""]","[""Lucius Caecilius Firmianus Lactantius""]","[""Lactantius"", ""Lactantius Firmianus"", ""Lucius Caecilius Firmanius Lactantius""]","[""Latin""]",Lactantius,508
Justin,Justin,Marcus Iunianus Iustinus,Q210853,"Justin, Marcus Junianus",24616821,567,303,"[""Marcus Iunianus Iustinus Frontinus"", ""Marcus Iunianus Iustinus"", ""Marcus Junianus Justinus"", ""Marcus Junianus Justinus Frontinus""]","[""Junianus Justinus""]","[""Iunianus Iustinus"", ""Iustinus"", ""M. Iunianus Iustinus""]","[""Latin""]",Iustinus,1060
Ausonius,Ausone,Decimus Magnus Ausonius,Q234593,"Ausonius, Decimus Magnus",109786483,178,133,"[""Decimus Magnus Ausonius""]",[],"[""Decimius Magnus Ausonius"", ""D. Magnus Ausonius Burdigalensis"", ""Ausonius""]","[""Latin""]",Ausonius,140
Seneca the Elder,Sénèque l'Ancien,Annaeus Seneca maior,Q273671,"Seneca, Marcus / Lucius Annaeus (rhetor)",23497389,43,37,"[""Ann\u00e6us Seneca"", ""Annaeus Seneca maior""]","[""Lucius Annaeus Seneca"", ""Seneque l'Ancien"", ""S\u00e9n\u00e8que le Rh\u00e9teur""]","[""Lucius Annaeus Seneca"", ""Seneca Maior"", ""Seneca Rhetor""]","[""Latin""]",Seneca rhetor,835
Aulus Gellius,Aulu-Gelle,Aulus Gellius,Q294800,Aulus Gellius,100198334,285,196,"[""Gellius"", ""Aulus Gellus"", ""Agellius""]","[""Aulus-Gellius"", ""Aulu Gelle"", ""Aulus Gellius""]","[""Gellius""]","[""Latin""]",Aulus Gellius,139
Gaius Lucilius,Lucilius,Gaius Lucilius,Q298729,Lucilius,89131128,19,16,"[""Caius Lucilius"", ""Lucilius""]","[""Caius Lucilius"", ""Gaius Lucilius""]","[""Lucilius"", ""Lucilius Satyricus""]","[""Latin""]",Gaius Lucilius,4980
Sidonius Apollinaris,Sidoine Apollinaire,Sidonius Apollinaris,Q302936,Sidonius Apollinaris,89203537,32,31,"[""Gaius Sollius Apollinaris Sidoniu"", ""Saint Sidonius Apollinaris"", ""Gaius Sollius Modestus Apollinaris Sidonius"", ""Apollinaris Sidonius""]","[""Caius Sollius Apollinaris Sidonius"", ""Gaius Sollius Apollinaris Sidonius""]","[""Sidonius Poeta""]","[""Latin""]",Sidonius Apollinaris,5649
Orosius,Paul Orose,Orosius,Q311456,"Orosius, Paulus",2479624,45,41,"[""Paul Orosius"", ""Paulus Orosius""]","[""Orose""]","[""Paulus Orosius"", ""Orosius Historicus""]","[""Latin""]",Orosius,613
Aulus Cornelius Celsus,Celse,Aulus Cornelius Celsus,Q312420,"Celsus, Aulus Cornelius",100172872,163,94,"[""Celsus""]","[""Cornelius Celsus"", ""Aulus Cornelius Celsus""]","[""Celsus Medicus"", ""Cornelius Celsus""]","[""Latin""]",Aulus Cornelius Celsus,1938
Gaius Valerius Flaccus,Caius Valerius Flaccus,Gaius Valerius Flaccus,Q316090,"Valerius Flaccus, Gaius",100899421,99,78,"[""Valerius Flaccus"", ""Gaius Valerius Flaccus Setinus Balbus""]","[""Val\u00e9rius Flaccus""]","[""Valerius Flaccus Poeta"", ""Valerius Flaccus"", ""Valerius Flaccus Setinus Balbus"", ""Gaius Valerius Flaccus Setinus Balbus""]","[""Latin""]",Gaius Valerius Flaccus,4834
Marcus Velleius Paterculus,Velleius Paterculus,Velleius Paterculus,Q316098,Velleius Paterculus,100171160,324,219,"[""Velleius Paterculus""]","[""Caius Velleius Paterculus"", ""Marcus Velleius Paterculus""]","[""Velleius Paterculus Historicus""]","[""Latin""]",Velleius Paterculus,955
Lucius Annaeus Florus,Florus,Lucius Annaeus Florus,Q316483,"Florus, Lucius Annaeus",89604346,489,266,"[""Julius Florus"", ""Florus"", ""Iulius Florus""]",[],"[""Florus"", ""Florus Historicus""]","[""Latin""]",Florus,319
Persius,Perse,Aulus Persius Flaccus,Q332785,Persius (Aulus Persius Flaccus),100198157,579,263,"[""Aulus Persius Flaccus""]","[""Aulus Persius Flaccus""]","[""Aulus Flaccus Persius"", ""Persius Poeta"", ""Persius""]","[""Latin""]",Persius,646
Prudentius,Prudence,Aurelius Prudentius Clemens,Q347250,"Prudentius, Aurelius",100010336,118,103,"[""Marcus Aurelius Prudentius Clemens"", ""Aurelius Prudentius Clemens""]","[""Aurelius Prudentius Clemens""]","[""Prudentius Clemens"", ""Prudentius Poeta"", ""Aurelius Prudentius""]","[""Latin""]",Prudentius,725
Marcus Aurelius,Marc Aurèle,Marcus Aurelius,Q1430,Marcus Aurelius Antoninus (emperor),102895066,223,161,"[""Caesar Marcus Aurelius Antoninus Augustus"", ""Antoninus"", ""Marcus Annius Verus"", ""Marcus Aurelius Verus"", ""Verissimus"", ""Marcus Catilius Severus Annius Verus"", ""Marcus Aurelius Antoninus""]",[],"[""Marcus Aurelius Antoninus"", ""Marcus Aurelius Antoninus Philosophus"", ""Marcus Aurelius Antoninus Imperator""]","[""Latin"", ""Ancient Greek""]",Marcus Aurelius,2952
Cicero,Cicéron,Marcus Tullius Cicero,Q1541,"Cicero, Marcus Tullius",78769600,2761,451,"[""Tully"", ""Marcus Tullius Cicero"", ""M. Tullii Ciceronis"", ""M. Tullius Cicero""]","[""Marcus Tullius Cicero""]","[""Cicero"", ""M.Tullius M.f.M.n. Cor. Cicero""]","[""Latin""]",Cicero,187
Titus Livius,Tite-Live,Titus Livius,Q2039,Livy (Titus Livius),99942145,722,354,"[""Titus Livius Patavinus"", ""Livy""]","[""Titus Livius Patavinus"", ""Livy"", ""Titus Livius"", ""Liv""]","[""Titus Livius Patavinus""]","[""Latin""]",Livius,521
Martial,Martial,Marcus Valerius Martialis,Q2098,"Martial, Marcus Valerius",8099277,507,256,"[""Marcus Valerius Martialis""]","[""Marcus Valerius Martialis""]","[""Martialis Epigrammaticus"", ""Martialis""]","[""Latin""]",Martialis,559
Tacitus,Tacite,Cornelius Tacitus,Q2161,"Tacitus, Publius Cornelius",100226923,1049,418,"[""P. Cornelius Tacitus"", ""Publius Cornelius Tacitus"", ""Cornelius Tacitus"", ""C. Cornelius Tacitus"", ""Gaius Cornelius Tacitus"", ""Publius Cornelius Tacitus Caecina Paetus""]","[""Publius Cornelius Tacitus""]","[""Tacitus Historicus"", ""Tacitus"", ""Publius Cornelius Tacitus""]","[""Latin""]",Tacitus,899
Horace,Horace,Quintus Horatius Flaccus,Q6197,Horace (Quintus Horatius Flaccus),100227522,1904,459,"[""Horatius Flaccus"", ""Quintus Horatius Flaccus"", ""Q. Horatius Flaccus"", ""Horatius""]","[""Quintus Horatius Flaccus""]","[""Q. Horatius Flaccus"", ""Horatius Poeta"", ""Horatius""]","[""Latin""]",Horatius,395
Sallust,Salluste,Gaius Sallustius Crispus,Q7170,"Sallust, Gaius Crispus",104162705,687,323,"[""Gaius Sallustius Crispus"", ""Qay Krisp Sallyusti""]",[],"[""Sallustius"", ""C. Sallustius Qui. Crispus""]","[""Latin""]",Sallustius,825
Ovid,Ovide,Publius Ovidius Naso,Q7198,"Ovid, Publius Naso",88342447,1650,477,"[""P. Ovidius Naso"", ""Publius Ovidius Naso""]",[],"[""Ovidius""]","[""Latin""]",Ovidius,614
Augustine of Hippo,Augustin d’Hippone,Augustinus,Q8018,Augustine of Hippo,66806872,750,263,"[""St. Augustine of Hippo"", ""St. Augoustinos"", ""Augustinus"", ""bishop of Hippo"", ""Aurelius Augustinus Hipponensis"", ""Augustine"", ""Aurelius Augustinus"", ""Aurelius Augustine"", ""Saint Austin"", ""Saint Augustine"", ""St. Augustine"", ""Saint Augustine of Hippo"", ""Aurelius""]","[""Augustin d'Hippone"", ""saint Augustin""]","[""Aurelius Augustinus"", ""Augustinus Aurelius""]","[""Latin""]",Augustinus,136
Propertius,Properce,Sextus Propertius,Q8827,"Propertius, Sextus",100907186,368,214,"[""Sextus Aurelius Propertius"", ""Sextus Propertius""]",[],"[""Propertius""]","[""Latin""]",Propertius,4807
Suetonius,Suétone,Suetonius,Q10133,Suetonius,100218606,692,318,"[""Gaius Suetonius Tranquillus"", ""Gaio Svetonio Tranquillo"", ""Svetonio"", ""Caius Suetonius Tranquillus"", ""Su\u00e9tone"", ""Tranquillus Suetonius"", ""C. Suetonius Tranquillus"", ""Suetone Tranquile"", ""Suetone"", ""Sveton"", ""Sueton""]",[],"[""Gaius Suetonius Tranquillus"", ""Gaius Suetonius Tranquillus Biographus"", ""Caius Suetonius Tranquillus""]","[""Latin""]",Suetonius,889
