q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,trismegistos_label,trismegistos_id,english_label,french_label,latin_label,english_aliases,french_aliases,latin_aliases,writing_languages
Q10133,Suetonius,100218606,692.0,318.0,Suetonius,889.0,Suetonius,Suétone,Suetonius,"[""Gaius Suetonius Tranquillus"", ""Gaio Svetonio Tranquillo"", ""Svetonio"", ""Caius Suetonius Tranquillus"", ""Su\u00e9tone"", ""Tranquillus Suetonius"", ""C. Suetonius Tranquillus"", ""Suetone Tranquile"", ""Suetone"", ""Sveton"", ""Sueton""]",[],"[""Gaius Suetonius Tranquillus"", ""Gaius Suetonius Tranquillus Biographus"", ""Caius Suetonius Tranquillus""]","[""Latin""]"
Q102338318,,,,,Appendix Vergiliana,5098.0,authors of Appendix Vergiliana,auteurs de l'Appendix Vergiliana,auctores Appendicis Vergilianae,"[""authors of the Appendix Vergiliana""]",[],[],"[""Latin""]"
Q10261,,,,,Pythagoras,803.0,Pythagoras,Pythagore,Pythagoras,"[""Pythagoras from Samos"", ""Pythagoras of Samos"", ""Samian Sage""]",[],"[""Pythagoras Samius"", ""Pythagoras Philosophus""]",[]
Q102851,"Boethius, Anicius Manlius Severinus",100218964,280.0,188.0,Boethius,164.0,Boethius,Boèce,Anicius Manlius Torquatus Severinus Boethius,"[""Anicius Manlius Severinus Bo\u00ebthius"", ""Anicus Manlius Severinus Boethius"", ""Anicius Manlius Torquatus Severinus Boethius""]","[""S\u00e9verin Bo\u00e8ce"", ""Boethius"", ""Boetius"", ""Anicius Manlius Severinus Boethius"", ""Anicius Bo\u00e8ce"", ""Bo\u00ebce""]","[""Anicius Manlius Torquatus Severinus Bo\u00ebthius"", ""Boethius"", ""Anicius Manlius Severinus Bo\u00ebthius"", ""Anicius Manlius Severinus Boethius"", ""Bo\u00ebthius"", ""Severinus Boethius"", ""Anicius Manlius Severinus Boetius""]","[""Latin""]"
Q1048,"Caesar, Gaius Julius",286265178,823.0,364.0,Caesar,168.0,Julius Caesar,Jules César,Gaius Iulius Caesar,"[""Divine Julius""]","[""Jules Caesar"", ""C\u00e9sar"", ""Caius Julius Caesar""]","[""CAIVS\u2022IVLIVS\u2022CAESAR"", ""IMPERATOR\u2022CAIVS\u2022IVLIVS\u2022CAESAR\u2022DIVVS"", ""C.Iulius C.f.C.n. Caesar""]","[""Latin""]"
Q1049225,Rufus of Ephesus,42630594,10.0,7.0,,,Rufus of Ephesus,Rufus,Rufus Ephesius,[],"[""Rufus d'\u00c9ph\u00e8se""]","[""Rufus Medicus""]","[""Ancient Greek""]"
Q106026,,,,,Areios,104.0,Arius,Arius,Arius,"[""Arius of Alexandria""]","[""Arius d'Alexandrie""]","[""Arius Alexandrinus"", ""Arius Haeresiarcha""]","[""Ancient Greek""]"
Q107317,Ulfilas (bishop),66477200,3.0,1.0,,,Ulfilas,Wulfila,Ulfilas,"[""Ulphilas"", ""Orphila"", ""Wulfila""]","[""Ulfilas"", ""Ulphilas"", ""Ulfila""]","[""Ulfila"", ""Ulfila Episcopus""]",[]
Q109594,Cornelius Nepos,100219060,478.0,271.0,Cornelius Nepos,204.0,Cornelius Nepos,Cornélius Népos,Cornelius Nepos,[],"[""Cornelius Nepos"", ""Corn\u00e9lius Nepos""]","[""Cornelius Nepos Historicus""]","[""Latin""]"
Q109598,,,,,Tibullus,1275.0,Tibullus,Tibulle,Albius Tibullus,"[""Tibullus Albius"", ""Albius Tibullus""]","[""Tibullus""]","[""Tibullus""]","[""Latin""]"
Q116508,Oppian of Cilicia,86913544,40.0,36.0,,,Oppian,Oppien de Corycos,Oppianus Corycius,"[""Oppianus"", ""Oppian of Corycus"", ""Oppianos""]","[""Oppien d'Anazarbe"", ""Oppien de Cilicie"", ""Oppien""]","[""Oppianus Anazarbensis"", ""Oppianus Epicus""]","[""Ancient Greek""]"
Q117253,Demosthenes,268302412,449.0,212.0,Demosthenes,226.0,Demosthenes,Démosthène,Demosthenes,"[""Dimosthenis""]",[],"[""Demosthenes Atheniensis"", ""Demosthenes Orator""]","[""Ancient Greek""]"
Q118992,Menander,297103308,54.0,43.0,Menandros,571.0,Menander,Ménandre,Menander,"[""Menander of Athens""]","[""Menandre""]","[""Menander Atheniensis"", ""Menander Comicus""]","[""Ancient Greek""]"
Q1231472,Philostratus the Younger,14850802,35.0,31.0,,,Philostratus the Younger,Philostrate le Jeune,Philostratus IV,"[""Philostratus IV"", ""Philostratus of Lemnos""]",[],"[""Philostratus Junior Sophista"", ""Philostratus Iunior Sophista""]","[""Ancient Greek""]"
