english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages
Ovid,Ovide,Publius Ovidius Naso,Q7198,"Ovid, Publius Naso",88342447,1650,477,"[""P. Ovidius Naso"", ""Publius Ovidius Naso""]",[],"[""Ovidius""]","[""Latin""]"
Virgil,Virgile,Publius Vergilius Maro,Q1398,Virgil (Vergilius Maro),8194433,1892,466,"[""Swan of Mantua"", ""Publius Vergilius Maro"", ""Mantuan Swan"", ""Vergil""]","[""Publius Vergilius Maro""]","[""Vergilius Maro"", ""Vergilius""]","[""Latin""]"
Horace,Horace,Quintus Horatius Flaccus,Q6197,Horace (Quintus Horatius Flaccus),100227522,1904,459,"[""Horatius Flaccus"", ""Quintus Horatius Flaccus"", ""Q. Horatius Flaccus"", ""Horatius""]","[""Quintus Horatius Flaccus""]","[""Q. Horatius Flaccus"", ""Horatius Poeta"", ""Horatius""]","[""Latin""]"
Cicero,Cicéron,Marcus Tullius Cicero,Q1541,"Cicero, Marcus Tullius",78769600,2761,451,"[""Tully"", ""Marcus Tullius Cicero"", ""M. Tullii Ciceronis"", ""M. Tullius Cicero""]","[""Marcus Tullius Cicero""]","[""Cicero"", ""M.Tullius M.f.M.n. Cor. Cicero""]","[""Latin""]"
Tacitus,Tacite,Cornelius Tacitus,Q2161,"Tacitus, Publius Cornelius",100226923,1049,418,"[""P. Cornelius Tacitus"", ""Publius Cornelius Tacitus"", ""Cornelius Tacitus"", ""C. Cornelius Tacitus"", ""Gaius Cornelius Tacitus"", ""Publius Cornelius Tacitus Caecina Paetus""]","[""Publius Cornelius Tacitus""]","[""Tacitus Historicus"", ""Tacitus"", ""Publius Cornelius Tacitus""]","[""Latin""]"
Homer,Homère,Homerus,Q6691,,224924963,1257,402,"[""Homeros"", ""Homerus"", ""M\u00e6onides""]",[],"[""Homerus Epicus""]","[""Ancient Greek""]"
Terence,Térence,Publius Terentius Afer,Q172048,Terence (Publius Terentius Afer),66462384,1185,399,"[""Terentius"", ""Publius Terentius Afer""]","[""Terentius"", ""Terence"", ""Publius Terentius Afer""]","[""Terentius"", ""Terentius Comicus"", ""P. Terentius Afer""]","[""Latin""]"
Josephus,Flavius Josèphe,Flavius Iosephus,Q134461,"Josephus, Flavius",22143666,618,388,"[""Flavius Iosephus"", ""Flavius Josephus"", ""Joseph ben Matityahu"", ""Titus Flavius Josephus""]","[""Titus-Flauius Josephus"", ""Titus Flauius Josephus"", ""Titus-Flavius Jos\u00e8phe"", ""Jos\u00e8phe ben Mattatias"", ""Josephus"", ""Titus Flavius Jos\u00e8phe"", ""Flavius Josephe"", ""Yossef ben Matityahou""]","[""Iosephus Historicus"", ""Flavius Josephus"", ""Josephus Historicus""]","[""Ancient Greek""]"
Plutarch,Plutarque,Plutarchus,Q41523,Plutarch,268955446,841,381,"[""Ploutarchos"", ""Plutarch of Chaeronea"", ""Plutarchos"", ""Lucius Mestrius Plutarchus"", ""Plutarchus""]","[""Plutarque de Ch\u00e9ron\u00e9e""]","[""Plutarchus Philosophus"", ""Plutarchus Chaeronensis"", ""Plutarchus Biographus"", ""L. Mestrius Plutarchus""]","[""Ancient Greek""]"
Quintus Curtius Rufus,Quinte-Curce,Quintus Curtius Rufus,Q5959,,73866222,658,365,"[""Curtius Rufus""]","[""Quinte Curce"", ""Quintus Curtius Rufus""]","[""Curtius Rufus"", ""Curtius Rufus Historicus""]","[""Latin""]"
