wikidata_id;spoken_written_language_names;writing_language_names;native_language_names;languages_of_works_names;all_languages_names
Q11925495;Ancient Greek;Ancient Greek;;;Ancient Greek
Q6704704;;;;;
Q2283002;Ancient Greek;Ancient Greek;;Ancient Greek;Ancient Greek
Q3624183;Ancient Greek;Ancient Greek;;;Ancient Greek
Q104554724;Ancient Greek;Ancient Greek;;;Ancient Greek
Q242295;Ancient Greek;;;;Ancient Greek
Q108858020;;;;;
Q328853;Ancient Greek;Ancient Greek;;Ancient Greek;Ancient Greek
Q105882966;Ancient Greek;Ancient Greek;;;Ancient Greek
Q4721014;Ancient Greek;Ancient Greek;;;Ancient Greek
Q868078;Latin;Latin;;;Latin
Q707449;Latin;Latin;;;Latin
Q4738694;Ancient Greek;Ancient Greek;;;Ancient Greek
Q4738696;;;;;
Q132884572;;;;;
Q4740187;Ancient Greek;Ancient Greek;;;Ancient Greek
Q549010;Ancient Greek;Ancient Greek;;Ancient Greek;Ancient Greek
Q108865085;Ancient Greek;Ancient Greek;;;Ancient Greek
Q132888224;;;;;
Q716811;Ancient Greek;Ancient Greek;;;Ancient Greek
Q8747;Ancient Greek;Ancient Greek;;Ancient Greek|English|Italian|Spanish|Czech|Hebrew|Medieval Latin;Ancient Greek|English|Italian|Spanish|Czech|Hebrew|Medieval Latin
Q1300185;Ancient Greek;Ancient Greek;;;Ancient Greek
Q1050414;Ancient Greek;Ancient Greek;;;Ancient Greek
Q105748356;Ancient Greek;Ancient Greek;;;Ancient Greek
Q588467;Ancient Greek;Ancient Greek;;;Ancient Greek
Q7777229;Ancient Greek;Ancient Greek;;;Ancient Greek
Q3558571;Ancient Greek;Ancient Greek;;;Ancient Greek
Q3731015;Ancient Greek;Ancient Greek;;;Ancient Greek
Q861803;Ancient Greek;Ancient Greek;;;Ancient Greek
Q120186738;;;;;
Q534163;Ancient Greek;Ancient Greek;;;Ancient Greek
Q4203785;Ancient Greek;Ancient Greek;;;Ancient Greek
Q721412;Ancient Greek;Ancient Greek;;Ancient Greek;Ancient Greek
Q3624211;Ancient Greek;Ancient Greek;;;Ancient Greek
Q125790846;;;;;
Q11923350;Ancient Greek;Ancient Greek;;;Ancient Greek
Q726934;Latin;;;;Latin
Q176122;Latin;Latin;;;Latin
Q936686;Ancient Greek;Ancient Greek;;;Ancient Greek
Q1271013;Ancient Greek;Ancient Greek;;Ancient Greek;Ancient Greek
Q3420272;;;;;
Q4791109;Ancient Greek;Ancient Greek;;;Ancient Greek
Q41523;Ancient Greek|Latin;Ancient Greek;;Ancient Greek|English|Italian|Latin|French|Czech|German|Spanish|Classical Greek|Greek|Persian|Indonesian|Middle French|renaissance Latin|Polish;Ancient Greek|Latin|English|Italian|French|Czech|German|Spanish|Classical Greek|Greek|Persian|Indonesian|Middle French|renaissance Latin|Polish
Q463364;Doric Greek|Ancient Greek;Ancient Greek;;French|German|Ancient Greek|English;Doric Greek|Ancient Greek|French|German|English
Q24039120;Ancient Greek;Ancient Greek;;;Ancient Greek
Q519513;Ancient Greek;Ancient Greek;;Ancient Greek;Ancient Greek
Q1294734;Ancient Greek;Ancient Greek;;;Ancient Greek
Q125758321;;;;;
Q119009595;Ancient Greek;Ancient Greek;;;Ancient Greek
Q16331569;;;;;
Q1233081;Ancient Greek;;Ancient Greek;Ancient Greek;Ancient Greek
Q8413;Latin;Latin;;Ancient Greek;Latin|Ancient Greek
Q3616354;Ancient Greek;Ancient Greek;;;Ancient Greek
Q98050784;Ancient Greek;Ancient Greek;;;Ancient Greek
Q441138;Ancient Greek;Ancient Greek;;;Ancient Greek
Q992257;Ancient Greek;Ancient Greek;;;Ancient Greek
Q7696790;Ancient Greek;Ancient Greek;;;Ancient Greek
Q974960;Latin;;;;Latin
Q18353959;Ancient Greek;Ancient Greek;;;Ancient Greek
Q213484;Ionic Greek|Ancient Greek;Ancient Greek;;French|Polish|Swedish|Catalan|Bangla;Ionic Greek|Ancient Greek|French|Polish|Swedish|Catalan|Bangla
Q739812;Ancient Greek;Ancient Greek;;;Ancient Greek
Q4786155;Ancient Greek;;;;Ancient Greek
Q241120;Ancient Greek;Ancient Greek;;Greek;Ancient Greek|Greek
Q637394;Ancient Greek;;;;Ancient Greek
Q10261;Ancient Greek;;;Ancient Greek|French|Spanish;Ancient Greek|French|Spanish
Q119011779;Ancient Greek;Ancient Greek;;;Ancient Greek
Q976669;Ancient Greek;Ancient Greek;;;Ancient Greek
Q1238827;Ancient Greek;Ancient Greek;;;Ancient Greek
Q1774828;;;;;
Q75514061;Latin;Latin;;;Latin
Q1783731;;;;;
Q25420924;;;;;
Q104223589;Ancient Greek;Ancient Greek;;;Ancient Greek
Q110914526;Latin;Latin;;;Latin
Q3616369;Ancient Greek;Ancient Greek;;;Ancient Greek
Q1407;Ancient Greek|Latin;;;;Ancient Greek|Latin
Q220344;;;;;
Q3822562;;;;;
Q16190918;Ancient Greek;Ancient Greek;;;Ancient Greek
Q2528551;Ancient Greek;Ancient Greek;;;Ancient Greek
Q67502620;;;;;
Q111223403;Latin;;;;Latin
Q317014;Ancient Greek|Latin;Latin;;Ancient Greek;Ancient Greek|Latin
Q154732;Latin;;;;Latin
Q1293541;;;;;
Q469712;Latin;;;;Latin
Q946929;;;;Coptic;Coptic
Q939680;Ancient Greek;Ancient Greek;;;Ancient Greek
Q367422;Latin;Latin;Latin;Latin;Latin
Q314447;Ancient Greek;Ancient Greek;Ancient Greek;Ancient Greek;Ancient Greek
Q104580055;Ancient Greek;Ancient Greek;;;Ancient Greek
Q897523;Latin;Latin;;;Latin
