wikidata_id;trismegistos_id;perseus_id;lagl_id;chap_id;fgrhist_id;tlg_id;pinakes_id;digliblt_id;phi_id;mda_id;dco_id;lla_id;clavis_id;cca_id;ciris_id;dll_id;dk_id;rspa_id
Q132888224;;;urn:cts:greekLit:lagl0420;;;;;;;;;;;;;;;
Q125758321;;;urn:cts:greekLit:lagl0101;;;;;;;;;;;;;;;
Q125790846;;;urn:cts:greekLit:lagl0147;;;;;;;;;;;;;;;
Q132884572;;;urn:cts:greekLit:lagl0361;;;;;;;;;;;;;;;
Q120727602;6716;;;629;;;;;;;;;;;;;;
Q1407;3838;;;;;;;;;;;;;;;;;
Q8413;2344;400;;518;;2736;765;000055;;;10_10_0312-0337-_Constantinus_Imperator;;E05CF432DAAC4D5097CDE6CB478E728A;Constantinus_I;574;A4611;;
Q8747;293;579;;;;1799;1027;;;;;;;Euclides;809;;;7c7e89f874a17747d77ff4afcebf660f7da78ac9
Q10261;803;1205;urn:cts:greekLit:tlg0632;;;0632;2424;;;;;;;;1848;;14;90bc8fa791008118deafeb97db65500eedc43a09
Q41523;698;1144;urn:cts:greekLit:tlg0007;46;388;0007;2365;;;;;;;;1739;;;05eb18001e86dffbab0cf724ecb139ecd622ad9c
Q117841;;1745;urn:cts:latinLit:phi2003;;;;;000013;2003;;;apicius;;Apicius;187;A4543;;
Q154732;5268;45;;;;;;;;;;;;;52;A2920;;
Q176122;2948;;;;;;;;302;;;;;;178;A3417;;
Q213484;55;84;urn:cts:greekLit:tlg0237;;;0237;157;;;;;;;;112;;;
Q220344;;;urn:cts:greekLit:lagl0239;;;;;;;;;;;;;;;
Q241120;1313;137;;;;0121;269;;;;;;;;181;;;
Q242295;6989;;;;;;;;;;;;;;;;;
Q314447;400;756;urn:cts:greekLit:tlg0030;;;0030;1378;;;;;;;;1102;;;
Q317014;457;;urn:cts:greekLit:tlg2956;186;;2956;2512;;902;;30_20_0175-0250-_Julius_Africanus;;;;1189;A3442;;
Q320902;4964;749;;;;;;;532;;;;;;1092;A3614;;
Q328853;7698;;urn:cts:greekLit:lagl0040;;;;;;;;;;;;198;;;
Q367422;5511;630;;;;;;000081;;;30_10_0314-0360-_Firmicius_Maternus;;97EAD00BD4814234B9D1788C0E81C8E4;Iulius_Firmicus_Maternus;888;A5524;;697b9c8bfe93b09cd9429fdf5d7966abd881ad90
Q441138;34;62;urn:cts:greekLit:tlg0697;508;273;0697;;;;;;;;;79;;;51b8f9b71837b9eb174b1ada765028cf06dc6531
Q463364;5275;276;;;;0036;531;;;;;;;;390;;;
Q469712;6990;;;;;;;;;;;;;;;;;
Q519513;550;;;;;2041;1770;;;;30_20_0280-0350-_Marcellus_Ancyranus;;30165661B8284628BE5C665A88635909;;1322;;;
Q534163;5133;1488;urn:cts:greekLit:tlg1751;;765;1751;;;;;;;;;2268;;;
Q549010;360;703;urn:cts:greekLit:tlg1402;;;1402;1282;;;;;;;;995;;;
Q588467;;;;;;1088;;;;;;;;;2109;;;
Q637394;;;;;;;;;;;;;;;;;;39a626d123d339c31eafe5e612ec58d6f711e7dd
Q707449;176;341;;;;;;000042;;;;censorinus;;Censorinus;498;A5390;;26f7db34d96af474ab9ad67882e71efaaabdbfca
Q709719;;;urn:cts:greekLit:lagl0426;;;;;;;;;;;;;;;
Q716811;4477;;;;481;2143;;;;;;;;;1025;;;
Q721412;351;685;urn:cts:greekLit:tlg1389;;;1389;1267;;;;;;;;971;;;
Q726934;;;;;;;;;;;;;734A6531B8F8406EA0B31732271740EF;;;;;
Q739812;;1081;urn:cts:greekLit:tlg0212;;;0212;2292;;;;;;;;1663;;;
Q861803;828;;;;;3377;2492;;;;;;212CFE0BF2C74FC295DAC3A9E257F590;;1971;;;
Q868078;6456;890;;;;;;000129;;181;;;;Marcellus_Empiricus;1323;A5085;;
Q891049;7527;;urn:cts:greekLit:tlg1229;;;1229;;;;;;;;;;;;
Q897523;7856;;;;;;;;;;;;;;868;;;
Q936686;;;;;;;;;;;;;;;65;;;1e2f46906e18b5e47559f945cd3695fded5eb099
Q939680;619;1025;;;;2123;2168;;;;;;;;1574;;;
