wikidata_id;lang_code;label;aliases
Q117841;el;Απίκιος;
Q117841;de;Marcus Gavius Apicius;
Q117841;cs;Marcus Gavius Apicius;
Q117841;ca;Marc Gavi Apici;
Q117841;bg;Апиций;
Q117841;ar;ماركوس غافيوس أبيشيوس;ماركو جافيو ابيكو
Q117841;af;Apicius;
Q117841;gl;Apicio;
Q41523;zh;普魯塔克;普卢塔克|普羅塔克|普鲁塔克|普鲁塔赫
Q41523;yue;普魯塔克;
Q41523;xmf;პლუტარქე;
Q41523;wuu;普鲁塔克;
Q41523;vi;Plutarchus;Lucius Mestrius Plutarchus|Mestrius Plutarchus|Plutarch
Q41523;uz;Plutarx;
Q41523;ur;پلوٹارک;
Q41523;uk;Плутарх;Плутарх з Геронеї
Q41523;tr;Plutarkhos;Plutarch|Plutarh|Plutarhos|Plutark|Plütark|Plütarkhos|Plutarkos
Q41523;tl;Plutarko;
Q41523;th;พลูทาร์ก;Plutarch|พลูตาร์ก|พลูตาร์ค
Q41523;te;ప్లూటార్కు;
Q41523;ta;புளூட்டாக்;புளூட்டார்க்
Q41523;sv;Plutarchos;Plutarcus|Plutarkos|Plutarkus
Q41523;sr-ec;Плутарх;
Q41523;sr;Плутарх;Plutarch
Q210853;en;Justin;Marcus Iunianus Iustinus|Marcus Iunianus Iustinus Frontinus|Marcus Junianus Justinus|Marcus Junianus Justinus Frontinus
Q205227;zh-tw;第二次君士坦丁堡公會議;
Q205227;zh-sg;第二次君士坦丁堡公会议;
Q205227;zh-hk;第二次君士坦丁堡公會議;
Q205227;zh-hant;第二次君士坦丁堡公會議;
Q205227;zh-hans;第二次君士坦丁堡公会议;
Q205227;zh-cn;第二次君士坦丁堡公会议;
Q205227;zh;第二次君士坦丁堡公會議;
Q205227;yue;第二次君士坦丁堡公會議;
Q205227;vi;Công đồng Constantinopolis II;
Q205227;uk;Другий Константинопольський собор;
Q205227;tr;İkinci İstanbul Konsili;
Q205227;tl;Ikalawang Konseho ng Constantinople;
Q205227;sw;Mtaguso wa pili wa Konstantinopoli;
Q205227;sv;Andra konciliet i Konstantinopel;Femte ekumeniska konciliet
Q205227;sr-el;Peti vaseljenski sabor;
Q205227;sr-ec;Пети васељенски сабор;
Q205227;sr;Пети васељенски сабор;V Васељенски Сабор у Цариграду|Пети Васељенски Сабор
Q205227;sl;drugi carigrajski koncil;
Q205227;sk;Druhý carihradský koncil;2. carihradský koncil|Druhý konštantínopolský koncil|Piaty všeobecný cirkevný snem
Q205227;sh;Drugi carigradski sabor;Drugi carigradski koncil|Peti vaseljenski sabor
Q205227;ru;Второй Константинопольский собор;II Константинопольский собор|Пятый вселенский собор
Q205227;ro;Al doilea conciliu de la Constantinopol;
Q205227;pt;Segundo Concílio de Constantinopla;Constantinopla ii|II Concílio de Constantinopla|Quinto Concílio Ecumênico
Q205227;pl;Sobór konstantynopolitański II;
Q205227;nl;Concilie van Constantinopel II;
Q205227;nb;Andre konsil i Konstantinopel;Det annet økumeniske konsil i Konstantinopel
Q205227;ms;Majlis Konstantinopel Kedua;
Q205227;mk;Петти вселенски собор;
Q205227;mg;Konsily faharoa tao Konstantinopoly;
Q205227;lt;Konstantinopolio II susirinkimas;
Q205227;la;Concilium Constantinopolitanum Secundum;
Q205227;ko;제2차 콘스탄티노플 공의회;
Q205227;ka;კონსტანტინოპოლის მეორე საეკლესიო კრება;
Q205227;ja;第2コンスタンティノポリス公会議;第2回コンスタンティノポリス公会議
Q205227;it;Concilio di Costantinopoli II;Secondo concilio di Costantinopoli
Q205227;id;Konsili Konstantinopel II;Konsili Konstantinopel Kedua
Q205227;hu;második konstantinápolyi zsinat;
Q205227;hr;Drugi carigradski sabor;
Q205227;he;ועידת קונסטנטינופוליס השנייה;
Q205227;fr;deuxième concile de Constantinople;deuxième concile œcuménique de Constantinople|IIe concile de Constantinople
Q205227;fi;Konstantinopolin toinen kirkolliskokous;Konstantinopolin 2. konsiili|Konstantinopolin toinen konsiili|Viides ekumeeninen kirkolliskokous
Q205227;eu;Konstantinoplako II. kontzilioa;Konstantinopoliseko II. kontzilioa
Q205227;es;Concilio de Constantinopla II;II Concilio de Constantinopla|Segundo Concilio de Constantinopla
Q205227;eo;Dua koncilio de Konstantinopolo;
Q205227;en;Second Council of Constantinople;
Q205227;el;Δεύτερη Σύνοδος της Κωνσταντινούπολης;Ε΄ Οικουμενική Σύνοδος
Q205227;de;Zweites Konzil von Konstantinopel;2. Konzil von Konstantinopel
Q205227;da;Andet koncil i Konstantinopel;
Q205227;cy;Ail Gyngor Caergystennin;
Q205227;cs;Druhý konstantinopolský koncil;2. konstantinopolský koncil|II. cařihradský koncil
Q205227;ca;Concili de Constantinoble II;Cinquè Concili Ecumènic|Concili II de Constantinoble|Segon concili de Constantinoble
Q205227;bg;Втори константинополски събор;Втори Цариградски събор|Пети Вселенски събор|Пети вселенски събор в Цариград
Q205227;ast;Conceyu de Constantinopla II;Segundu Conceyu de Constantinopla
Q205227;arz;مجمع القسطنطينيه الثانى;
Q205227;ar;مجمع القسطنطينية الثاني;مجمع القسطنطينيه الثاني
Q205227;af;Tweede Konsilie van Konstantinopel;
Q185073;zh-tw;聶斯脫里;
Q185073;zh-sg;聂斯脱利;
Q185073;zh-hk;聶斯脫里;
Q185073;zh-hant;聶斯脫里;
Q185073;zh-hans;聂斯脱利;
Q185073;zh-cn;聂斯脱利;
Q185073;zh;聶斯脫里;聂斯多略|聂斯托留|聂斯托留派|聂斯托里|聂斯脱利|聂斯脱里|聶斯多略|聶斯托留|聶斯脫利
Q185073;yue;聶斯脫里;
Q185073;wuu;聂斯脱里;
Q185073;war;Nestorius;
Q185073;vi;Nestorius;
Q185073;uk;Несторій;
Q185073;tr;Nestorius;
Q185073;tl;Nestorio;
Q185073;sv;Nestorius;Patriark Nestorius av Konstantinopel
Q185073;sr-el;Nestorije;
Q185073;sr-ec;Несторије;
Q185073;sr;Несторије;Несторије Цариградски
Q185073;sq;Nestorius;
Q185073;sk;Nestorius;
Q185073;sh;Nestorije;Nestorije Carigradski|Nestorius
Q185073;sco;Nestorius;
Q185073;ru;Несторий;
Q185073;ro;Nestorie;Nestorios|Nestorius
Q185073;pt-br;Nestório;
Q185073;pt;Nestório;Bispo Nestório|Nestório de Constantinopla
Q185073;pl;Nestoriusz;
Q185073;oc;Nestòri;
Q185073;nn;Nestorios;
Q185073;nl;Nestorius van Constantinopel;Nestor van Constantinopel|Nestoriaans schisma|Nestorius
Q185073;nb;Nestorios;Nestorius
Q185073;ms;Nestorius;
Q185073;ml;നെസ്തോറിയസ്;
Q185073;mk;Несториј Константинополски;
Q185073;mg;Nestorius;
Q185073;lv;Nestorijs;
Q185073;lt;Nestorijus;
Q185073;la;Nestorius;Nestorius Theologus
Q185073;ko;네스토리우스;
Q185073;kk-tr;Nestorïý;
Q185073;kk-latn;Nestorïý;
Q185073;kk-kz;Несторий;
Q185073;kk-cyrl;Несторий;
Q213484;pt-br;Anacreonte;Anacreon
Q213484;pt;Anacreonte;
Q213484;pl;Anakreont z Teos;Anakreon|Anakreont
Q213484;nn;Anakreon;
Q213484;nb;Anakreon;
Q213484;mwl;Anacreonte;
Q213484;ms;Anakreon;
Q213484;ml;അനാക്രിയൺ;Anacreon
Q213484;mk;Анакреонт;
Q213484;lv;Anakreonts;
Q213484;lt;Anakreontas;
Q213484;ko;아나크레온;
Q213484;kn;ಅನಾಕ್ರಿಯಾನ್;
Q213484;ka;ანაკრეონტი;
Q213484;io;Anakreon;
Q213484;id;Anakreon;
Q213484;hy;Անակրեոն;
Q213484;hu;Anakreón;
Q213484;hr;Anakreont;
Q213484;he;אנאקראון;אנאקריאון
Q213484;grc;Ἀνακρέων;Ἀνακρέων, Ἀνακρέοντος
Q213484;gl;Anacreonte;
Q213484;fi;Anakreon;Anacreon|Anakreonttinen runous
Q213484;fa;آناکرئون;
Q213484;eu;Anakreonte;
Q213484;et;Anakreon;
Q213484;eo;Anakreono;
Q213484;en-ca;Anacreon;
Q213484;el;Ανακρέων;Ανακρέοντας
Q213484;diq;Anakreon;
Q213484;de-ch;Anakreon;
Q213484;da;Anakreon;
Q213484;cs;Anakreón;Anacreon|Anakreon|Anakreon z Teos
Q213484;ca;Anacreont;Anacreó
Q213484;bs;Anakreont;
Q213484;bn;আনাক্রেয়ন;
Q213484;bg;Анакреон;Анакреон от Теос|Анакреонт|Анакреонт от Теос
Q213484;be-tarask;Анакрэонт;
Q213484;be;Анакрэонт;Анакрэон
Q213484;az;Anakreon;
Q213484;ar;أنكريون;
Q213484;la;Anacreon;Anacreo|Anacreon Lyricus|Anacreon Teius
Q213484;de;Anakreon;
Q213484;cy;Anacreon;
Q213484;it;Anacreonte;
Q213484;nl;Anacreon;
Q213484;ja;アナクレオン;
Q213484;es;Anacreonte;
Q213484;en-gb;Anacreon;
Q213484;fr;Anacréon;Anacreon|Anacréon de Téos
Q213484;en;Anacreon;
Q176122;zh;马克·安东尼·奥雷托尔;
Q176122;uk;Марк Антоній Оратор;
Q176122;sv;Marcus Antonius;Marcus Antonius Orator
Q176122;sr;Марко Антоније Оратор;
Q176122;sq;Marcus Antonius;
Q176122;sh;Marko Antonije Orator;
Q176122;ru;Марк Антоний Оратор;
Q176122;pt-br;Marco Antônio Orador;Marco Antonio Orador
Q176122;pt;Marco António Orador;
Q176122;pl;Marek Antoniusz Orator;
Q176122;nn;Marcus Antonius Orator;
Q176122;nl;Marcus Antonius Orator;
Q176122;nb;Marcus Antonius Orator;
Q176122;lt;Markas Antonijus Oratorius;
Q176122;la;Marcus Antonius Orator;Marcus Antonius|M.Antonius M.f.M.n.
Q176122;ja;マルクス・アントニウス・オラトル;
Q176122;it;Marco Antonio Oratore;Marco Antonio
Q176122;id;Marcus Antonius;
Q176122;hu;Marcus Antonius Orator;
Q176122;fr;Marc Antoine l'Orateur;
Q176122;fi;Marcus Antonius Orator;
Q176122;es;Marco Antonio el Orador;
Q176122;el;Μάρκος Αντώνιος ο ρήτορας;
Q176122;de;Marcus Antonius Orator;
Q176122;da;Marcus Antonius Orator;
Q176122;cs;Marcus Antonius Orator;Marcus Antonius zvaný Orator
Q176122;ca;Marc Antoni l'Orador;
Q176122;bg;Марк Антоний Оратор;
Q176122;en;Marcus Antonius;Marcus Antonius Orator|Marcus Antonius the orator
Q154732;zh-tw;小阿格里皮娜;
Q154732;zh-sg;小阿格里皮娜;
Q154732;zh-hk;小阿格里皮娜;
Q154732;zh-hant;小阿格里皮娜;
Q154732;zh-hans;小阿格里皮娜;
Q154732;zh-cn;小阿格里皮娜;
Q154732;zh;小阿格里皮娜;小阿格丽品娜|小阿格里披娜
Q154732;yue;小阿格里皮娜;
Q154732;vi;Julia Agrippina;Agrippina
Q154732;uz;Yulia Agrippina;
Q154732;ur;اگریپینا صغری;
Q154732;uk;Агріппіна Молодша;Агріпіна Молодша|Агріппіна|Молодша Агріппіна
Q154732;tr;Genç Agrippina;
Q154732;sr-el;Agripina Mlađa;
Q154732;sr-ec;Агрипина Млађа;Агрипинила|Јулија Августа Агрипина|Јулија Агрипина
Q154732;sr;Агрипина Млађа;Агрипина млађа
Q154732;sh;Agripinila;Agripina Minor|Agripina Mlađa|Agrippinilla
Q154732;sco;Agrippina the Younger;
Q154732;ru;Агриппина Младшая;Агриппина|Юлия Агриппина
Q154732;ro;Agrippina Minor Iulia;
Q1409;sl;Kaligula;Gaius Caesar Augustus Germanicus|Gaj Cezar|Gaj Cezar Avgust Germanik
Q1409;skr;قیصر گائیس کیلیگولا;
Q1409;sk;Caligula;
Q1409;shi;Kaligula;
Q1409;sh;Kaligula;
Q1409;sco;Caligula;
Q1409;scn;Calìgula;
Q1409;pt-br;Calígula;
Q1409;pt;Calígula;
Q1409;ps;کالیګولا;
Q1409;pnb;کالیگولا;
Q1409;pms;Calìgola;
Q1409;pa;ਕਾਲੀਗੁਲਾ;
Q1409;nn;Caligula;
Q1409;nan;Caligula;
Q1409;mzn;کالیگولا;
Q1409;my;ကလီဂျူလာဘုရင်;
Q1409;ms;Caligula;
