wikidata_id;name_en;viaf_id;bnf_id;birth_year;birth_precision;death_year;death_precision;floruit_year;floruit_precision
Q11925495;Hermodorus;150928190;;-399;9;;;;
Q6704704;Luperculus;;;;;300;7;;
Q2283002;Agias;69321229;;-650;7;-700;7;;
Q3624183;Artemidorus of Tarsus;315159474047927660756,27455162;;;;;;-100;7
Q104554724;Apollas Ponticus;74241921;;;;;;-250;7
Q242295;Eurydice I of Macedon;11152986602012670056;;-406;9;-366;7;;
Q108858020;Timocrates;;;;;;;;
Q328853;Apollodorus of Acharnae;203029171,380159474206927661702,1139159474331927662392,267852434,285910075,6407168049002038410004;13093252z;-393;9;-301;7;;
Q105882966;Eucleides of Athens;57001608;;;;;;-450;7
Q4721014;Alexandrides of Delphi;52080780;;-300;7;-200;7;;
Q868078;Marcellus Empiricus;196567001,3266886,23149542839900302183,1012159474203427661459,7368159248528204870005,6230159248641104870001,173207087,30151776765818011832,303586460,9428160486166605180000;12851449j;400;7;500;7;;
Q707449;Censorinus;195718548,137161272018147440165,242159474047927661026,1027145857143522922653;11885953m;250;7;250;7;300;7
Q4738694;Alypius of Constantinople;32386032;;;;;;;
Q4738696;Alypius of Antioch;;;;;;;;
Q132884572;Archibios of Leucas or Alexandria;;;;;;;;
Q4740187;Amarantus of Alexandria;74241868;;;;;;;
Q549010;Hephaestion;923154257867924151371,891159474072127660167,61570390,243159474317027662587,265864593,384159234862503372871;12077303f;101;7;200;7;;
Q108865085;Pythaenetus;49614272;;;;;;;
Q132888224;Pausanias of Caesarea;;;;;;;;
Q716811;Hermogenes of Priene;41819345,61941480,96319994;;-240;7;-200;7;;
Q8747;Euclid;305411082,314893948,7963168049009338410008,176184097,173181669,667144647685769784378,113145857115322922311,266578192,982154380949230291090,100219655,104169941,222960141,301159474047527660202;11901997s;-322;9;-284;9;-250;7
Q1300185;Statilius Flaccus;138151776730118010248,61941759;;-100;7;;;-75;7
Q1050414;Phaedrus the Epicurean;1304145857046422921300,32800577;16969062h;-137;9;-69;9;;
Q105748356;Antiatticista;157145003303561301996,231144782696331291717,75147266687935481182;;;;;;150;7
Q588467;Themison of Laodicea;74242510;;-122;9;-42;9;;
Q7777229;Theagenes;29921092;;;;;;-250;7
Q3558571;Phaedimus of Bisanthe;7775336;;-150;7;;;-300;7
Q3731015;Heraclides of Sinope;76706174;;;;;;;
Q861803;Serapion of Thmuis;24714373,287271738,1012159248415304870007,430159474316427662499,311255094,7833159248324904870000;125430496;300;9;370;9;;
Q120186738;Valentinus;;;;;;;;
Q534163;Xanthos;8184116,305392546;;-500;6;-500;7;-500;7
Q4203785;Isidorus;27879861;;;;;;150;7
Q721412;Harpocration;139160307035157740004,211435698,1071154380932630290322,3487155769089927880004,3636159477826327990001;12349233g;;;;;200;7
Q3624211;Artemon of Pergamum;20068831;;;;;;-200;7
Q125790846;Hermogenes;;;;;;;;
Q11923350;Phanias;57001893;;;;;;;
Q726934;Saint Martial;30933654;12520934h;300;7;300;7;300;7
Q176122;Marcus Antonius;66358857,39151776775018011114;;-142;9;-86;9;;
Q936686;Alcinous;301986016;;;;;;200;7
Q1271013;Adrianus of Tyre;34843808,1591160668069403560003;16242934f;113;9;193;9;;
Q3420272;Ravennius;47153167;;450;7;461;9;;
Q4791109;Aristotle of Cyrene;;;-400;6;-400;7;;
Q41523;Plutarch;262883934,268955446,24145857055422921454,173200419,175398898,196145857884323020775;119200813;45;8;120;7;;
Q463364;Bion of Smyrna;250719105,2368159478277527990001,6812159478080327990005,1027159474340827662623,267311595,2127167025392053390005,2497159477708227990005,261119325,262674316,305077146,307195374,382158790745138852803,7476159477558427990005,84966814;13091709q;-119;9;-56;9;-200;7
Q24039120;Theochrestus;69321569;;;;;;;
Q519513;Marcellus of Ancyra;37711435,286597843,268828028,459159233916503370226;12511664n;285;9;374;9;;
Q1294734;Tryphon;7191746;;;;;;-50;7
Q125758321;Dionysius;;;;;;;;
Q119009595;Callicrates-Menecles;7775195,289438348;;;;;;;
Q16331569;Argas;;;;;;;-380;7
Q1233081;ancient Greek epic poet;54537306;;;;;;-700;7
Q8413;Constantine the Great;96539579,297226782,97746098,104719131,259428884,2881155286671187180004;12182910j;274;9;337;9;;
Q3616354;Andromachus the Younger;57001237;;50;9;;;;
Q98050784;Lamynthius of Miletus;47152981;;;;;;-450;7
Q441138;Alexandros Polyhistor;34308646,310752268,2896149845000502960008,394159474174827661135;;-99;9;-39;9;;
Q992257;Evangelus;29920753;;;;;;-400;7
Q7696790;Telesarchus;47153244;;;;;;;
Q974960;Castor of Apt;22527764;;350;9;420;9;;
Q18353959;Aristodama;;;-298;9;;;;
