Unnamed: 0,# items,# collections,Short name,First names,Surname,Sex,City of birth,Date of birth,City of death,Date of death,Collections,VIAF ID (https://viaf.org),Publisher CERL ID,Notes,Bibliography,Normalised date of birth,Normalised date of death,Earliest edition year,Relations
1,2761,451,"Cicero, Marcus Tullius",Marcus Tullius,Cicero,Male,Arpino,106 BCE,Gaeta,43 BCE,,http://viaf.org/viaf/78769600/,,,,-106,-43.0,1466,
2,1904,459,Horace (Quintus Horatius Flaccus),Quintus Horatius Flaccus,Horatius,Male,Venosa,65 BCE,Roma,8 BCE,,http://viaf.org/viaf/100227522/,,,,-65,-8.0,1408,
3,1892,466,Virgil (Vergilius Maro),Publius Vergilius Maro,Virgil,Male,Mantova,70 BCE,Brindisi,19 BCE,,http://viaf.org/viaf/307499318/,,,,-70,-19.0,1016,
4,1650,477,"Ovid, Publius Naso",Publius Ovidius Naso,Ovidius,Male,Sulmona,43 BCE,,17,,http://viaf.org/viaf/88342447/,,died Tomis (modern Romania),,-43,17.0,1084,
5,1185,399,Terence (Publius Terentius Afer),Publius  Afer,Terentius,Male,Carthage,c. 190 BCE,,159 BCE,,http://viaf.org/viaf/66462384/,,,,-190,-159.0,1477,
6,1049,418,"Tacitus, Publius Cornelius",Publius Cornelius,Tacitus,Male,,c. 56,,117,,http://viaf.org/viaf/100226923/,,,,56,117.0,1497,
7,870,263,Aristotle,-,Aristotle,Male,,384 BCE,,322 BCE,,http://viaf.org/viaf/268271999/,,,,-384,-322.0,1472,
8,861,355,Juvenal,Decimus Junius,Juvenalis,Male,,c. 55,,,,http://viaf.org/viaf/83985148/,,,,55,,1474,
9,841,381,Plutarch,Lucius Mestrius,Plutarch,Male,,c. 46,Delphi,c. 120,,http://viaf.org/viaf/268955446/,,born Chaeronea (Greece),,46,120.0,1468,
10,823,364,"Caesar, Gaius Julius",Gaius Julius,Caesar,Male,Roma,100 BCE,Roma,44 BCE,,http://viaf.org/viaf/17151776730618010858/,,,,-100,-44.0,1097,
