ID,Author Name,Author Disambiguation,Perseus Catalog ID,Wikipedia Entry,Trismegistos ID
694,Platon,"Platon (Greek, philosophy academy, poetry tragedy, BC 428 - 347 about)",,https://en.wikipedia.org/wiki/Plato,https://www.trismegistos.org/author/694
119,Aristoteles,"Aristoteles (Greek, history, philosophy Peripatetic, poetry elegy, BC 384 - 322)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,https://en.wikipedia.org/wiki/Aristotle,https://www.trismegistos.org/author/119
393,Homeros,"Homeros (Greek, poetry epic, BC 750 - 700 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.745,https://en.wikipedia.org/wiki/Homeros,https://www.trismegistos.org/author/393
958,Vergilius,"Vergilius (Latin, poetry epic, bucolic, BC 70 - 19)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1474,https://en.wikipedia.org/wiki/Vergilius,https://www.trismegistos.org/author/958
136,Augustinus,"Augustinus (Latin, theology, poetry, grammar, AD 354 - 430)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.236,https://en.wikipedia.org/wiki/Augustine_of_Hippo,https://www.trismegistos.org/author/136
187,Cicero,"Cicero (Latin / Greek, history, rhetoric, philosophy, paradoxography, BC 106 - 43)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.364,https://en.wikipedia.org/wiki/Cicero,https://www.trismegistos.org/author/187
299,Euripides,"Euripides (Greek, poetry tragedy, satyr play, BC 480 - 406)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.601,https://en.wikipedia.org/wiki/Euripides,https://www.trismegistos.org/author/299
614,Ovidius,"Ovidius (Latin, poetry, BC 43 - AD 18)",,https://en.wikipedia.org/wiki/Ovidius,https://www.trismegistos.org/author/614
395,Horatius,"Horatius (Latin, poetry, BC 65 - 8)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.748,https://en.wikipedia.org/wiki/Horace,https://www.trismegistos.org/author/395
1102,Seneca,"Seneca (Latin, philosophy, poetry tragedy, history, AD 41 - 65)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1270,https://en.wikipedia.org/wiki/Seneca_the_Younger,https://www.trismegistos.org/author/1102
698,Ploutarchos,"Ploutarchos (Greek, biography, philosophy Platonist middle, history, AD 46 - 120 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1144,https://en.wikipedia.org/wiki/Plutarchus,https://www.trismegistos.org/author/698
865,Sophokles,"Sophokles (Greek, poetry tragedy, poetry elegy, BC 497 - 405 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1307,https://en.wikipedia.org/wiki/Sophocles,https://www.trismegistos.org/author/865
25,Aischylos,"Aischylos (Greek, poetry tragedy, poetry elegy, epigram, BC 525 - 455)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.34,https://en.wikipedia.org/wiki/Aeschylos,https://www.trismegistos.org/author/25
117,Aristophanes,"Aristophanes (Greek, poetry comedy, BC 446 - 386)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.202,https://en.wikipedia.org/wiki/Aristophanes,https://www.trismegistos.org/author/117
376,Herodotos,"Herodotos (Greek, history, BC 484 - 425 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.728,https://en.wikipedia.org/wiki/Herodotus,https://www.trismegistos.org/author/376
899,Tacitus,"Tacitus (Latin, history, AD 56 - 120)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1357,https://en.wikipedia.org/wiki/Tacitus,https://www.trismegistos.org/author/899
937,Thoukydides,"Thoukydides (Greek, history, BC 460 - 400 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1403,https://en.wikipedia.org/wiki/Thucydides,https://www.trismegistos.org/author/937
175,Catullus,"Catullus (Latin, poetry, BC 87 - 54)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.337,https://en.wikipedia.org/wiki/Catullus,https://www.trismegistos.org/author/175
521,Livius,"Livius (Latin, history, BC 59 - AD 17?)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.840,https://en.wikipedia.org/wiki/Livy,https://www.trismegistos.org/author/521
695,Plautus,"Plautus (Latin, poetry comedy, BC 254 - 184)",,https://en.wikipedia.org/wiki/Plautus,https://www.trismegistos.org/author/695
690,Pindaros,"Pindaros (Greek, poetry lyric, BC 522 - 443)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1126,https://en.wikipedia.org/wiki/Pindarus,https://www.trismegistos.org/author/690
529,Lucretius,"Lucretius (Latin, philosophy, poetry, BC 100 - 50)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.852,https://en.wikipedia.org/wiki/Lucretius,https://www.trismegistos.org/author/529
612,Origenes,"Origenes (Greek, theology, AD 185 - 253 about)",,https://en.wikipedia.org/wiki/Origen,https://www.trismegistos.org/author/612
381,Hesiodos,"Hesiodos (Greek, poetry epic, BC 725 - 675 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.729,https://en.wikipedia.org/wiki/Hesiod,https://www.trismegistos.org/author/381
972,Xenophon,"Xenophon (Greek, history, philosophy, BC 430 - 354 about)",,https://en.wikipedia.org/wiki/Xenophon,https://www.trismegistos.org/author/972
697,Plinius Maior,"Plinius Maior (Latin, encyclopedia, grammar, AD 23 - 79)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1141,https://en.wikipedia.org/wiki/Plinius_Maior,https://www.trismegistos.org/author/697
390,Hippokrates,"Hippokrates (Greek, medicine, BC 460 - 370 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.739,https://en.wikipedia.org/wiki/Hippocrates_of_Cos,https://www.trismegistos.org/author/390
4807,Propertius,"Propertius (Latin, poetry elegy, BC 58 - 16)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1187,https://en.wikipedia.org/wiki/Propertius,https://www.trismegistos.org/author/4807
3481,Plotinos,"Plotinos (Greek, philosophy Neoplatonic, AD 205 - 270 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1143,https://en.wikipedia.org/wiki/Plotinus,https://www.trismegistos.org/author/3481
