english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages
Apuleius,Apulée,Lucius Apuleius,Q170512,Apuleius,32115433,273,179,"[""Lucius Apuleius""]","[""Apulee""]","[""Apuleius Madaurensis"", ""Lucius Apuleius Madaurensis"", ""Apuleius""]","[""Latin""]"
Ammianus Marcellinus,Ammien Marcellin,Ammianus Marcellinus,Q172198,Ammianus Marcellinus,89594750,133,109,"[""Ammianus""]","[""Amien Marcellin"", ""Ammianus Marcellinus"", ""Ammianus""]","[""Ammianus"", ""Ammianus Marcellinus Historicus""]","[""Latin""]"
Publius Papinius Statius,Stace,Publius Papinius Statius,Q243203,"Statius, Publius Papinus",100904338,204,150,"[""Statius""]","[""Stace"", ""Publius Papinius Statius""]","[""Statius"", ""Statius Poeta"", ""Papinius Statius""]","[""Latin""]"
Coelius Sedulius,Coelius Sedulius,Coelius Sedulius,Q538564,Coelius Sedulius,18636329,2,2,"[""Caelius Sedulius"", ""Siadhal"", ""Sedulius""]",[],"[""Sedulius presbyter"", ""Sedulius Poeta"", ""Caelius Sedulius"", ""Sedulius""]","[""Latin""]"
Aemilius Probus,Aemilius Probus,Aemilius Probus,Q37740777,Aemilius Probus,59141391,15,15,[],[],[],"[""Latin""]"
Julius Caesar,Jules César,Gaius Iulius Caesar,Q1048,"Caesar, Gaius Julius",286265178,823,364,"[""Divine Julius""]","[""Jules Caesar"", ""C\u00e9sar"", ""Caius Julius Caesar""]","[""CAIVS\u2022IVLIVS\u2022CAESAR"", ""IMPERATOR\u2022CAIVS\u2022IVLIVS\u2022CAESAR\u2022DIVVS"", ""C.Iulius C.f.C.n. Caesar""]","[""Latin""]"
Virgil,Virgile,Publius Vergilius Maro,Q1398,Virgil (Vergilius Maro),8194433,1892,466,"[""Swan of Mantua"", ""Publius Vergilius Maro"", ""Mantuan Swan"", ""Vergil""]","[""Publius Vergilius Maro""]","[""Vergilius Maro"", ""Vergilius""]","[""Latin""]"
Vegetius,Végèce,Flavius Vegetius Renatus,Q4298,"Vegetius, Publicus Flavius",100197902,96,89,"[""Vegetius Renatus"", ""Flavius Vegetius Renatus"", ""Flavius Vegetius"", ""Publius Vegetius Renatus"", ""Publius Flavius Vegetius Renatus""]","[""Vegece"", ""Vegetius""]","[""Publius Flavius Vegetius Renatus"", ""Vegetius""]","[""Latin""]"
Vitruvius,Vitruve,Marcus Vitruvius Pollio,Q47163,Vitruvius,46768430,165,92,"[""Pollio Vitruvius"", ""Marcus Vitruvius Pollio"", ""Vitruvius Pollio""]","[""Marc Vitruve"", ""Vitruvius""]","[""Vitruvius Pollio Scriptor de architectura"", ""Vitruvius"", ""Vitruvius Pollio""]","[""Latin""]"
Phaedrus,Phèdre,Phaedrus,Q52166,"Phaedrus, Gaius Julius",100219094,448,246,"[""Gaius Julius Phaedrus"", ""Ph\u00e6drus""]",[],"[""Gaius Iulius Phaedrus"", ""Phaedrus Scriptor fabularum""]","[""Latin""]"
Oppian,Oppien de Corycos,Oppianus Corycius,Q116508,Oppian of Cilicia,86913544,40,36,"[""Oppianus"", ""Oppian of Corycus"", ""Oppianos""]","[""Oppien d'Anazarbe"", ""Oppien de Cilicie"", ""Oppien""]","[""Oppianus Anazarbensis"", ""Oppianus Epicus""]","[""Ancient Greek""]"
