english_label,french_label,latin_label,q_identifier,trismegistos_label,trismegistos_id,english_aliases,french_aliases,latin_aliases,writing_languages,viaf_id
Paulinus of Nola,Paulin de Nole,Paulinus Nolanus,Q132473,Paulinus of Nola,632,"['Paulinus Nolanus', 'St. Paulinus of Nola']",[],[],['Latin'],['23387750']
Isidore of Seville,Isidore de Séville,Isidorus Hispalensis,Q166876,Isidorus of Sevilla,446,"['St. Isidore', 'Bishop of Seville', 'Isidorus Hispalensis', 'Isidor of Seville', 'Saint Isidore of Seville']","['Isidoire de Séville', 'Saint Isidore de Séville', 'Isidore de Seville']","['Laus Hispaniae Isidori Hispaliensis', 'Isidorus']",['Latin'],"['96397520', '79397616', '572144647670558301828', '4034168049038038410003', '316398716', '305411325', '803890']"
Aelius Donatus,Aelius Donatus,Aelius Donatus,Q247137,Donatus,261,['Donatus'],"['Élius Donat', 'Aelius Donat']","['Donatus', 'Donatus Grammaticus']",['Latin'],['37012417']
Gaius,Gaius,Gaius,Q313439,Gaius,325,['Caius'],"['Caïus', 'Gaïus']","['Gaius Iurisconsultus', 'iur.,', 'Gaius']",['Latin'],"['523159474048527660594', '291262291', '1537154387374330970000', '1155159248246204870006', '5725215']"
Marcus Cornelius Fronto,Fronton,Marcus Cornelius Fronto,Q317055,Fronto,323,['Fronto'],['Marcus Cornelius Fronto'],"['Fronto Rhetor', 'Fronto', 'Marcus Cornelius Fronto Rhetor']",['Latin'],"['73172818716812651427', '6339151474996400490004', '287406042', '2599151172696039210001', '1832159474222127662039', '797154380942030290860', '66499129']"
Servius,Servius,Maurus Servius Honoratus,Q355350,Servius,839,"['Servius Honoratus', 'Marius Servius Honoratus', 'Marius Servius', 'Sergius', 'Maurus Servius Honoratus', 'Seregius']",['Maurus Servius Honoratus'],"['Servius', 'Servius Grammaticus']",['Latin'],"['306452466', '123145857074322921977', '10970700']"
Priscian,Priscien de Césarée,Priscianus Caesariensis,Q356433,Priscianus,715,"['Priscianus', 'Priscian of Caesarea']",['Priscien'],"['Priscianus', 'Priscianus Caesarensis', 'Priscianus Grammaticus']",['Latin'],"['95155767385227760243', '87630716', '2425161453831564330001', '213167803615217772888', '187167803613517772879', '58160307480557742198', '461154380952730291290', '7928151247963444270005', '278158790748238852817', '76294069']"
Tyrannius Rufinus,Rufin d'Aquilée,Tyrannius Rufinus,Q365835,Rufinus of Aquileia,819,"['Rufinus Aquileiensis', 'Rufinus of Concordia', 'Rufinus of Aquileia']","['Tyrannius Rufinus', ""Rufin d'Aquilee""]","['Rufinus Aquileiensis', 'Rufinus Scriptor ecclesiasticus']",['Latin'],"['184145857061722921641', '77679446', '595158790752538852912']"
Dracontius,Dracontius,Blossius Aemilius Dracontius,Q885446,Blossius Aemilius Dracontius,5946,['Blossius Aemilius Dracontius'],['Blossius Aemilius Dracontius'],"['Dracontius', 'Dracontius Afer', 'Dracontius Poeta']",['Latin'],"['129151776759018010376', '178625980', '224958933']"
Scriptores Historiae Augustae,Scriptores Historiae Augustae,Scriptores Historiae Augustae,Q9334638,Scriptores Historiae Augustae,5058,[],[],[],['Latin'],['859146997187618890664']
