wikidata_id;statements;identifiers;total_sitelinks;wikipedia_count;wiktionary_count;wikiquote_count;wikisource_count;wikibooks_count;wikinews_count;wikiversity_count;wikivoyage_count;commons_count;meta_count;wikispecies_count;wikidata_count;incubator_count;wikifunctions_count;wikipedia_langs;wiktionary_langs;wikiquote_langs;wikisource_langs;wikibooks_langs;wikinews_langs;wikiversity_langs;wikivoyage_langs;commons_langs;meta_langs;wikispecies_langs;wikidata_langs;incubator_langs;wikifunctions_langs
Q8747;266;207;196;166;0;19;10;0;0;0;0;1;0;0;0;0;0;knc,ko,ksh,ku,kw,ky,la,,lez,li,lij,lmo,lt,lv,mad,mg,mk,ml,mn,mr,ms,mt,mwl,my,mzn,nds,new,nl,nn,no,oc,olo,om,or,pa,pl,pms,pnb,ps,pt,ro,ru,rue,sah,sat,scn,sco,sd,sh,shi,simple,sk,sl,sq,sr,sv,sw,szl,szy,ta,te,tg,th,tl,tr,tt,tum,uk,ur,uz,vec,vep,vi,vo,war,wuu,xal,xh,xmf,yi,yo,za,zgh,zh-classical,zh-min-nan,zh-yue,zh,af,als,am,an,ann,ar,arz,as,ast,av,az,azb,ba,ban,bat-smg,bcl,be-tarask,be,bew,bg,bh,bi,bn,bo,br,bs,btm,bxr,ca,ce,ckb,cs,cv,cy,da,de,diq,el,en,eo,es,et,eu,ext,fa,fi,fiu-vro,fr,frr,fy,ga,gan,gcr,gl,gn,gu,ha,hak,he,hi,hif,hr,hu,hy,ia,id,ie,ilo,io,is,it,ja,jam,jbo,jv,ka,kaa,kbp,kk,kn;;,pl,pt,ru,sr,sv,tr,uk,vi,az,bn,cs,de,el,en,eo,hu,hy,it,ja;,la,ru,cs,de,el,en,es,fr,he,it;;;;;,commons;;;;;
Q41523;328;252;155;99;0;40;15;0;1;0;0;0;0;0;0;0;0;af,als,an,ar,,arz,ast,az,azb,ba,be-tarask,be,bg,bn,br,bs,ca,ckb,co,cs,cv,cy,da,de,el,en,eo,es,et,eu,ext,fa,fi,fr,frr,ga,gl,he,hi,hr,hu,hy,hyw,ia,id,io,is,it,ja,ka,kk,ko,ky,la,lfn,lt,lv,mg,mk,ml,mn,mr,mrj,ms,mwl,nl,nn,no,oc,pa,pl,pms,pnb,ps,pt,ro,ru,scn,sd,sh,simple,sk,sl,sq,sr,sv,ta,th,tl,tr,uk,ur,uz,vi,war,wuu,xmf,zh-classical,zh-yue,zh;;,ar,az,be,bg,bs,ca,cs,de,el,en,eo,es,fa,fr,he,hr,hu,hy,id,it,ka,ku,la,lt,nl,pl,pt,ro,ru,sk,sl,sq,sr,sv,ta,tr,uk,ur,vi,zh;,cs,de,el,en,es,fa,fr,he,it,la,nl,pl,ru,te,vi;;,ru;;;;;;;;
Q4738694;16;9;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;en,es,ca,el;;;;;;;;;;;;;
Q4738696;16;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;ar,ca,en,it,nl,pt;;;;;;;;;;;;;
Q4740187;16;8;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;ca,de,en,es,tr;;;;;;;;;;;;;
Q4791109;13;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;ca,de,en;;;;;;;;;;;;;
Q6704704;12;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;de,en,ru;;;;;;;;;;;;;
Q7777229;16;8;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;ca,en;;;;;;;;;;;;;
Q11923350;15;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;ca;;;;;;;;;;;;;
Q11925495;39;28;8;7;0;0;1;0;0;0;0;0;0;0;0;0;0;ca,de,en,es,fr,it,,pt;;;,it;;;;;;;;;;
Q16331569;8;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;el;;;;;;;;;;;;;
Q24039120;13;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;ca;;;;;;;;;;;;;
Q328853;65;42;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;az,br,ca,de,en,es,he,it;;;;;;;;;;;;;
Q463364;151;120;36;24;0;4;8;0;0;0;0;0;0;0;0;0;0;ca,cs,cy,de,,el,en,eo,es,fi,fr,gl,hu,id,it,ko,la,no,pl,pt,ro,ru,sv,uk,zh;;,en,it,pl,sl;,de,el,en,es,fr,it,pl,ru;;;;;;;;;;
Q519513;82;65;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0;bg,da,de,el,en,es,fr,hu,id,it,nl,pl,pt,ru,sv,tr,uk;;;;;;;;;;;;;
Q534163;43;26;24;22;0;0;2;0;0;0;0;0;0;0;0;0;0;arz,az,be,ca,de,el,en,eo,es,fa,fr,hr,hu,it,,ja,ko,lv,pl,ru,sr,uk,zh;;;,it,en;;;;;;;;;;
Q549010;78;66;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;ca,de,en,es,fi,fr,it,ru,uk,uz;;;;;;;;;;;;;
Q588467;27;14;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;ar,arz,ca,de,en,eo,es,fr,hu,it,ru,uk;;;;;;;;;;;;;
Q707449;111;89;23;17;0;1;4;0;0;0;0;1;0;0;0;0;0;ast,bg,ca,,de,en,eo,es,fr,he,hu,it,la,pl,pt,ru,uk,zh;;,it;,en,fr,it,la;;;;;,commons;;;;;
Q716811;50;33;18;17;0;1;0;0;0;0;0;0;0;0;0;0;0;bg,ca,de,el,en,es,eu,fr,it,,nl,pl,ru,sq,sv,tr,uk,zh;;,it;;;;;;;;;;;
Q721412;85;63;15;12;0;0;3;0;0;0;0;0;0;0;0;0;0;de,el,,en,es,fi,fr,id,it,pl,ru,uk,ca;;;,el,en,it;;;;;;;;;;
Q726934;55;33;18;17;0;1;0;0;0;0;0;0;0;0;0;0;0;arz,ca,,cy,de,en,es,fr,fy,it,nl,no,oc,pl,pt,ru,sv,sw;;,ca;;;;;;;;;;;
Q861803;100;67;17;14;0;2;0;0;0;0;0;1;0;0;0;0;0;arc,,de,en,es,fr,hy,it,nl,pl,pt,ru,sr,sw,tr;;,en,sr;;;;;;,commons;;;;;
Q868078;71;55;16;14;0;0;1;0;0;0;0;1;0;0;0;0;0;arz,bg,ca,,de,en,eo,es,fr,hu,id,it,la,ru,uk;;;,it;;;;;,commons;;;;;
Q176122;71;32;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0;bg,ca,cs,de,el,en,es,fi,fr,hu,id,it,ja,la,lt,nl,no,pl,pt,ru,sh,sr,sv,uk,zh;;;;;;;;;;;;;
